,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S01000507,494,20,43,37,45,107,55,30,68,89
S01000508,505,17,53,57,41,155,50,28,60,44
S01000509,485,32,50,35,57,85,54,36,69,67
S01000510,332,16,35,20,32,70,22,29,43,65
S01000511,303,24,32,29,34,68,24,16,43,33
S01000512,478,34,46,47,63,73,63,30,55,67
S01000513,418,25,37,33,25,101,45,37,52,63
S01000514,486,44,60,46,48,110,51,24,44,59
S01000515,291,31,48,34,24,68,22,11,24,29
S01000516,487,54,47,63,52,116,47,32,41,35
S01000517,344,23,36,24,32,82,35,26,52,34
S01000518,475,26,47,50,37,113,44,32,58,68
S01000519,307,27,44,26,28,84,21,18,23,36
S01000520,563,39,60,39,37,161,57,35,57,78
S01000521,462,29,38,34,43,101,46,28,62,81
S01000522,359,30,45,40,34,106,21,20,25,38
S01000523,393,23,27,43,24,77,50,28,60,61
S01000524,367,30,44,36,33,83,31,16,52,42
