,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish,Language other than English used at home: Other
S01001931,702,663,35,4,7,258,596,1,9,2,31,63
S01001932,"1,591","1,557",23,11,28,633,"1,453",3,24,13,23,75
S01001933,814,807,6,1,3,147,754,2,9,2,5,42
S01001934,"1,463","1,437",24,2,11,305,"1,271",-,3,4,30,155
S01001935,880,843,29,8,10,312,759,1,13,2,34,71
S01001936,"1,113","1,096",13,4,12,179,956,7,6,1,8,135
S01001937,845,829,15,1,7,223,766,1,9,2,3,64
S01001938,614,602,8,4,5,92,525,-,-,2,5,82
S01001939,537,530,7,-,3,79,476,2,3,-,14,42
S01001940,791,772,17,2,8,115,652,1,2,4,9,123
S01001941,"1,004",987,13,4,8,122,834,-,2,-,8,160
S01001942,552,542,9,1,14,104,468,6,5,-,7,66
S01001943,674,620,32,22,2,191,533,-,3,-,44,94
S01001944,766,741,24,1,4,117,734,3,-,-,2,27
S01001945,727,725,2,-,6,115,668,-,6,1,4,48
S01001946,817,776,40,1,7,229,669,-,5,-,64,79
S01001947,932,920,12,-,8,120,828,-,6,-,1,97
S01001948,792,758,26,8,7,251,679,1,3,3,32,74
S01001949,670,653,13,4,10,189,564,2,2,2,31,69
S01001950,863,844,18,1,3,178,729,-,4,5,35,90
S01001951,879,856,20,3,8,207,733,1,11,3,18,113
S01001952,731,727,3,1,3,92,641,-,3,1,6,80
S01001953,836,831,4,1,11,108,766,1,2,2,3,62
S01001954,428,418,8,2,-,111,380,-,1,-,16,31
S01001955,"1,090","1,064",23,3,8,307,938,-,-,4,52,96
S01001956,713,691,17,5,1,249,603,-,5,4,28,73
S01001957,474,455,15,4,3,144,378,-,3,4,30,59
S01001958,821,805,14,2,6,197,686,1,1,-,20,113
S01001959,547,537,10,-,4,194,524,-,1,-,7,15
S01001960,900,893,7,-,1,99,724,-,5,3,24,144
S01001961,"1,060","1,039",17,4,7,164,926,1,3,-,24,106
S01001962,852,834,15,3,1,236,726,-,1,1,23,101
S01001963,875,843,26,6,6,162,633,1,7,2,49,183
S01001964,703,694,7,2,3,173,624,-,-,1,27,51
S01001965,734,708,25,1,7,224,652,2,1,4,32,43
S01001966,"1,466","1,407",50,9,10,414,"1,095",1,20,1,94,255
S01001967,608,595,11,2,1,171,531,-,1,-,41,35
S01001968,831,825,6,-,7,118,773,2,3,1,15,37
S01001969,609,597,12,-,4,167,525,-,1,2,21,60
S01001970,605,600,4,1,1,68,566,-,-,-,-,39
S01001971,747,724,21,2,16,242,629,2,10,1,41,64
S01001972,684,678,5,1,4,104,617,1,5,-,-,61
S01001973,650,647,2,1,5,181,596,3,2,-,9,40
S01001974,829,824,4,1,5,104,726,1,-,-,-,102
S01001975,835,829,3,3,6,97,745,1,-,-,13,76
S01001976,814,795,13,6,13,139,668,9,6,-,10,121
S01001977,818,785,27,6,4,250,683,-,6,3,40,86
S01001978,"1,303","1,247",46,10,3,407,"1,049",1,9,7,68,169
S01001979,695,692,3,-,8,94,623,4,2,-,6,60
S01001980,799,785,14,-,2,140,678,-,6,-,15,100
S01001981,917,907,9,1,6,141,724,2,8,-,13,170
S01001982,374,366,8,-,-,116,319,-,2,-,20,33
S01001983,692,682,10,-,3,77,575,1,4,2,1,109
S01001984,909,859,32,18,2,176,755,1,8,14,24,107
S01001985,726,715,10,1,19,187,662,15,4,-,7,38
S01001986,620,602,14,4,5,100,450,-,1,1,32,136
S01001987,812,809,3,-,7,89,707,7,-,6,4,88
S01001988,754,750,3,1,8,213,697,6,7,3,11,30
S01001989,858,849,8,1,6,196,782,1,16,-,3,56
S01001990,935,920,15,-,5,83,754,1,4,-,4,172
S01001991,793,776,15,2,10,166,686,5,1,8,31,62
S01001992,813,782,28,3,6,103,636,-,2,1,12,162
S01001993,705,692,10,3,5,88,601,-,4,4,3,93
S01001994,880,876,4,-,3,153,755,2,6,-,19,98
S01001995,623,615,8,-,3,168,565,-,3,-,25,30
S01001996,816,813,2,1,2,103,721,-,3,1,7,84
S01001997,766,736,29,1,9,184,674,1,4,1,24,62
S01001998,698,685,9,4,1,151,610,-,-,1,14,73
S01001999,728,722,4,2,9,72,632,4,3,1,2,86
S01002000,741,722,17,2,7,215,607,1,15,-,26,92
S01002001,766,736,27,3,7,161,570,3,3,2,52,136
S01002002,719,714,5,-,8,60,624,1,2,2,2,88
S01002003,817,805,9,3,7,245,766,4,5,1,1,40
S01002004,785,775,6,4,6,127,653,2,4,-,26,100
S01002005,741,715,24,2,2,233,657,1,5,-,42,36
S01002006,834,811,18,5,3,265,716,1,7,-,7,103
S01002007,945,920,22,3,9,200,671,1,9,-,65,199
S01002008,905,901,4,-,11,122,800,6,4,-,4,91
S01002009,852,836,13,3,5,104,653,-,8,5,7,179
S01002010,506,494,11,1,4,54,419,-,4,-,5,78
S01002011,"1,011",978,23,10,4,197,886,2,6,4,16,97
S01002012,799,787,7,5,12,110,608,8,11,5,17,150
S01002013,776,768,7,1,8,75,666,3,2,1,3,101
S01002014,852,843,5,4,6,74,719,2,2,4,3,122
S01002015,803,796,4,3,1,188,770,-,3,7,3,20
S01002016,568,557,10,1,11,85,448,6,5,-,20,89
S01002017,"1,102","1,055",41,6,5,350,965,-,11,2,36,88
S01002018,774,770,3,1,7,164,732,5,4,2,10,21
S01002019,799,796,3,-,6,98,686,3,6,1,2,101
S01002020,553,542,11,-,4,85,385,1,4,3,5,155
S01002021,963,943,16,4,8,282,881,-,7,5,28,42
S01002022,937,928,9,-,2,242,894,1,3,2,-,37
S01002023,755,741,12,2,6,85,642,3,6,-,7,97
S01002024,684,679,4,1,7,100,610,1,3,3,3,64
S01002025,887,857,29,1,10,168,717,4,2,2,30,132
S01002026,640,629,10,1,2,115,611,-,-,4,1,24
S01002027,"1,175","1,161",12,2,10,152,942,5,7,3,15,203
S01002028,"2,523","2,503",19,1,21,220,"1,923",7,4,1,33,555
S01002029,760,757,2,1,8,75,654,4,1,-,2,99
S01002030,723,712,10,1,7,106,584,4,-,1,23,111
S01002031,659,640,18,1,4,171,510,-,-,-,37,112
S01002032,755,710,17,28,9,108,591,6,5,1,9,143
S01002033,755,742,12,1,12,168,613,2,3,5,29,103
S01002034,770,758,10,2,7,135,636,1,6,-,8,119
S01002035,702,697,5,-,2,193,650,-,3,2,9,38
S01002036,870,833,35,2,3,163,633,-,7,4,55,171
S01002037,664,664,-,-,6,56,584,3,5,-,13,59
S01002038,503,494,7,2,8,63,413,2,6,-,5,77
S01002039,660,651,8,1,1,119,620,-,3,-,-,37
S01002040,593,576,13,4,3,94,461,1,7,-,45,79
S01002041,867,852,13,2,17,128,717,5,-,-,21,124
S01002042,931,922,8,1,9,214,890,2,3,1,-,35
S01002043,685,679,5,1,4,151,642,-,1,3,1,38
S01002044,597,583,13,1,2,191,544,1,7,2,20,23
S01002045,"1,026",995,29,2,6,247,934,2,5,1,27,57
S01002046,559,551,7,1,4,140,457,1,1,4,19,77
S01002047,833,807,18,8,4,91,688,-,3,1,6,135
S01002048,868,843,20,5,9,95,682,5,2,-,10,169
S01002049,"1,098","1,085",11,2,10,183,908,1,5,1,15,168
S01002050,725,711,10,4,3,125,599,1,2,1,-,122
S01002051,737,728,8,1,5,240,701,1,2,4,15,14
S01002052,849,817,28,4,18,143,599,2,7,-,67,174
S01002053,978,964,13,1,11,107,745,4,3,4,13,209
S01002054,636,628,8,-,2,100,495,-,6,-,11,124
S01002055,895,888,7,-,10,227,832,6,4,-,1,52
S01002056,887,877,8,2,7,211,811,3,3,5,9,56
S01002057,884,872,12,-,4,171,831,1,2,2,8,40
S01002058,"1,034","1,014",18,2,8,192,821,2,3,2,39,167
S01002059,673,650,17,6,4,134,502,2,3,6,25,135
S01002060,749,742,6,1,8,90,579,7,4,1,10,148
S01002061,695,688,7,-,5,109,558,3,3,-,15,116
S01002062,544,537,5,2,-,151,489,-,4,3,13,35
S01002063,"1,162","1,129",29,4,19,206,894,2,15,3,14,234
S01002064,"1,101","1,072",26,3,9,197,835,1,10,2,45,208
S01002065,969,957,12,-,15,113,751,6,8,3,6,195
S01002066,"1,043","1,028",14,1,13,140,711,3,16,-,5,308
S01002067,849,840,8,1,10,202,767,-,16,1,12,53
S01002068,919,890,26,3,11,171,644,3,8,7,58,199
S01002069,600,588,10,2,9,121,549,6,2,3,10,30
S01002070,639,631,5,3,8,110,467,3,2,-,13,154
S01002071,677,665,12,-,7,94,486,-,3,7,16,165
S01002072,"1,088","1,078",9,1,13,206,"1,031",7,8,-,4,38
S01002073,628,614,11,3,5,131,476,-,3,1,22,126
S01002074,656,651,5,-,1,128,608,-,1,-,6,41
S01002075,892,883,7,2,9,180,773,2,3,1,31,82
S01002076,837,823,13,1,7,136,680,4,3,4,15,131
S01002077,756,750,5,1,3,162,725,-,1,-,3,27
S01002078,"1,045","1,038",7,-,4,195,986,-,1,-,8,50
S01002079,"1,027","1,017",10,-,10,181,808,3,4,1,21,190
S01002080,960,952,7,1,2,202,849,2,2,2,6,99
S01002081,731,727,4,-,4,134,626,1,3,2,14,85
S01002082,822,808,11,3,4,149,675,1,9,1,33,103
S01002083,523,516,6,1,2,171,488,-,3,-,11,21
S01002084,782,771,9,2,4,141,593,2,4,3,21,159
S01002085,742,725,16,1,8,122,552,6,2,3,17,162
S01002086,627,612,14,1,5,100,436,2,11,4,8,166
S01002087,"1,041","1,024",16,1,9,184,805,-,11,2,11,212
S01002088,932,924,7,1,6,199,877,6,7,-,3,39
S01002089,974,965,9,-,6,152,923,1,8,2,7,33
S01002090,"1,032","1,025",7,-,4,233,989,-,1,1,3,38
S01002091,816,804,11,1,5,152,641,1,-,-,18,156
S01002092,999,975,24,-,6,157,953,2,10,3,6,25
S01002093,984,968,15,1,6,150,736,5,3,4,32,204
S01002094,699,685,13,1,5,166,601,1,8,2,17,70
S01002095,574,563,10,1,5,97,523,2,5,-,5,39
S01002096,"1,379","1,365",12,2,7,225,"1,263",4,4,-,7,101
S01002097,759,749,9,1,4,136,694,-,3,1,1,60
S01002098,712,710,1,1,5,186,660,1,2,-,4,45
S01002099,823,809,14,-,4,99,721,-,2,1,7,92
S01002100,543,538,5,-,1,102,502,-,-,-,8,33
S01002101,"1,076","1,033",40,3,11,265,796,3,3,3,39,232
S01002102,606,589,13,4,3,183,530,-,1,4,28,43
S01002103,595,590,3,2,5,137,555,2,4,4,11,19
S01002104,"1,392","1,339",47,6,11,219,887,3,7,3,31,461
S01002105,952,947,5,-,8,85,888,4,2,-,3,55
S01002106,948,936,10,2,1,102,669,1,8,-,14,256
S01002107,491,484,6,1,1,94,460,-,3,-,7,21
S01002108,"1,185","1,165",20,-,12,157,814,5,5,-,9,352
S01002109,922,906,15,1,10,120,737,7,2,2,15,159
S01002110,665,665,-,-,2,121,603,1,5,-,2,54
S01002111,"1,019","1,011",8,-,6,192,941,-,12,2,4,60
S01002112,"1,057","1,051",5,1,5,217,"1,015",1,2,-,14,25
S01002113,725,719,6,-,8,162,695,1,2,3,3,21
S01002114,666,665,1,-,1,102,620,-,4,1,2,39
S01002115,"1,045","1,037",8,-,14,137,921,11,1,1,10,101
S01002116,842,832,6,4,16,213,783,8,12,5,8,26
S01002117,722,697,19,6,3,129,549,1,2,2,20,148
S01002118,"1,153","1,131",19,3,11,195,850,3,13,3,22,262
S01002119,576,568,8,-,-,159,523,-,6,2,17,28
S01002120,690,683,7,-,4,148,637,2,5,1,13,32
S01002121,632,626,3,3,6,162,573,4,2,-,6,47
S01002122,945,935,10,-,6,122,917,1,2,1,-,24
S01002123,956,948,7,1,8,195,907,5,4,3,-,37
S01002124,923,910,10,3,1,182,847,-,1,1,19,55
S01002125,"1,067","1,049",17,1,6,224,"1,002",-,4,4,13,44
S01002126,593,589,4,-,3,168,570,2,-,1,-,20
S01002127,699,694,3,2,1,178,656,3,1,1,-,38
S01002128,758,750,7,1,7,105,598,-,3,-,27,130
S01002129,"1,010",995,14,1,5,218,795,1,10,-,22,182
S01002130,536,530,6,-,6,148,499,-,-,2,2,33
S01002131,816,809,7,-,8,131,591,1,12,1,8,203
S01002132,780,771,9,-,6,177,714,3,3,1,24,35
S01002133,975,967,8,-,8,124,858,5,3,1,2,106
S01002134,564,560,4,-,1,103,543,1,-,-,4,16
S01002135,835,830,5,-,8,111,798,3,1,-,-,33
S01002136,752,742,9,1,8,89,671,1,5,2,3,70
S01002137,838,831,4,3,-,212,759,-,9,-,5,65
S01002138,697,685,9,3,1,139,619,-,3,4,21,50
S01002139,646,638,6,2,5,145,589,1,6,-,1,49
S01002140,768,753,11,4,4,234,673,2,8,3,33,49
S01002141,702,696,4,2,1,174,642,2,11,4,4,39
S01002142,"1,047","1,040",6,1,7,249,976,-,3,3,14,51
S01002143,715,703,11,1,-,203,663,-,1,4,18,29
S01002144,690,682,2,6,4,114,634,-,-,1,-,55
S01002145,980,968,9,3,7,147,855,1,-,4,4,116
S01002146,959,940,13,6,9,231,831,2,4,1,49,72
S01002147,883,866,13,4,4,266,791,-,5,4,20,63
S01002148,866,860,6,-,3,101,799,-,9,-,2,56
S01002149,977,952,16,9,4,273,877,3,8,5,17,67
S01002150,652,651,1,-,6,125,598,1,8,-,8,37
S01002151,"1,506","1,462",39,5,11,283,"1,178",4,8,1,117,198
S01002152,820,805,15,-,-,127,701,-,8,3,7,101
S01002153,490,486,3,1,3,112,453,-,1,3,6,27
S01002154,792,767,18,7,5,211,688,2,3,10,34,55
S01002155,912,881,29,2,12,240,698,-,9,2,63,140
S01002156,711,700,11,-,6,67,622,-,1,-,3,85
S01002157,747,744,2,1,11,79,697,1,1,-,2,46
S01002158,765,761,4,-,2,93,701,-,-,-,1,63
S01002159,697,689,6,2,-,107,602,2,3,1,19,70
S01002160,869,830,28,11,4,192,711,2,2,19,41,94
S01002161,764,756,7,1,6,102,610,3,12,2,10,127
S01002162,976,958,8,10,9,212,862,2,3,2,18,89
S01002163,"1,022","1,003",17,2,11,203,830,2,5,1,69,115
S01002164,789,784,4,1,2,248,762,-,9,2,5,11
S01002165,842,836,5,1,7,193,780,2,-,6,12,42
S01002166,803,796,6,1,4,98,746,-,2,-,1,54
S01002167,603,593,9,1,4,146,575,-,2,1,11,14
S01002168,"1,008","1,003",5,-,8,164,896,2,8,1,6,95
S01002169,824,816,8,-,8,119,708,3,3,-,3,107
S01002170,853,848,5,-,8,269,783,1,7,3,7,52
S01002171,584,581,3,-,4,166,562,2,1,-,12,7
S01002172,692,686,5,1,5,170,654,-,2,-,1,35
S01002173,944,927,14,3,8,176,857,3,9,7,13,55
S01002174,864,859,4,1,6,157,781,2,-,-,8,73
S01002175,958,930,23,5,12,199,763,3,1,3,76,112
S01002176,743,738,5,-,3,223,710,1,15,4,4,9
S01002177,770,763,6,1,16,105,681,9,1,2,5,72
S01002178,865,858,5,2,3,118,786,-,3,3,14,59
S01002179,640,634,5,1,4,150,585,3,2,-,6,44
S01002180,568,561,7,-,5,60,487,3,-,-,11,67
S01002181,754,739,12,3,4,227,674,-,4,1,32,43
S01002182,764,759,4,1,8,102,687,2,-,1,1,73
S01002183,831,823,8,-,9,201,693,-,11,1,58,68
S01002184,740,734,3,3,6,118,667,1,7,5,-,60
S01002185,895,849,37,9,2,225,726,-,4,2,103,60
S01002186,713,703,10,-,4,92,587,1,2,-,17,106
S01002187,888,881,7,-,7,110,785,3,2,-,5,93
S01002188,739,731,8,-,1,130,671,1,1,-,3,63
S01002189,642,630,9,3,6,113,539,3,4,1,14,81
S01002190,828,806,20,2,19,132,650,5,1,3,29,140
S01002191,756,745,10,1,10,242,705,4,5,4,14,24
S01002192,846,835,10,1,5,242,782,-,2,7,9,46
S01002193,872,861,11,-,4,104,804,1,2,-,-,65
S01002194,785,771,14,-,2,220,729,-,7,7,11,31
S01002195,"1,088","1,082",6,-,10,161,972,2,4,2,27,81
S01002196,619,604,11,4,3,131,564,-,7,4,-,44
S01002197,672,655,15,2,7,158,563,-,2,4,53,50
S01002198,776,751,22,3,6,187,642,-,13,-,37,84
S01002199,799,797,1,1,7,137,666,-,6,1,10,116
S01002200,"1,055","1,042",11,2,-,111,994,-,2,-,8,51
S01002201,"1,031","1,021",8,2,4,127,914,-,1,3,8,105
S01002202,832,815,16,1,6,85,660,2,3,1,16,150
S01002203,461,459,2,-,5,77,381,-,10,1,8,61
S01002204,682,671,7,4,-,188,596,-,6,2,31,47
S01002205,696,689,7,-,11,101,624,2,2,-,4,64
S01002206,991,962,23,6,8,155,734,2,3,1,83,168
S01002207,780,770,8,2,2,191,694,-,2,2,8,74
S01002208,658,652,5,1,5,66,550,1,-,-,3,104
S01002209,902,868,31,3,5,192,679,-,7,2,111,103
S01002210,536,536,-,-,7,78,498,1,7,-,11,19
S01002211,614,597,13,4,2,217,561,-,2,6,8,37
S01002212,"1,093","1,079",14,-,-,334,974,-,5,5,47,62
S01002213,790,779,10,1,7,224,759,-,8,3,7,13
S01002214,738,732,6,-,8,130,663,3,1,-,12,59
S01002215,"1,103","1,082",19,2,6,185,"1,050",1,-,1,2,49
S01002216,"1,633","1,557",64,12,15,383,"1,196",1,6,4,253,173
S01002217,"1,239","1,180",47,12,15,249,831,2,1,1,114,290
S01002218,546,542,3,1,5,87,424,-,5,-,15,102
S01002219,670,653,16,1,1,122,587,1,1,2,4,75
S01002220,757,749,5,3,12,90,703,9,2,1,4,38
S01002221,932,894,30,8,12,188,740,3,6,-,81,102
S01002222,838,834,2,2,1,122,767,1,4,-,2,64
S01002223,694,681,9,4,3,143,638,-,5,3,-,48
S01002224,889,879,8,2,3,164,814,-,6,-,5,64
S01002225,961,932,24,5,4,132,710,2,4,3,38,204
S01002226,"1,017","1,007",9,1,4,179,911,1,4,2,19,80
S01002227,784,766,17,1,2,269,701,-,2,1,29,51
S01002228,958,946,11,1,7,224,822,2,-,-,6,128
S01002229,705,698,7,-,1,110,638,1,1,1,-,64
S01002230,990,980,8,2,10,155,869,-,6,2,19,94
S01002231,"1,136","1,129",7,-,9,109,927,3,2,1,6,197
S01002232,824,807,13,4,5,224,733,1,7,-,26,57
S01002233,929,895,26,8,8,206,745,-,10,2,42,130
S01002234,757,737,20,-,4,197,601,2,11,2,47,94
S01002235,984,972,10,2,9,151,833,1,6,2,39,103
S01002236,908,891,13,4,4,275,826,4,3,-,28,47
S01002237,"1,291","1,240",44,7,6,296,"1,087",4,6,3,122,69
S01002238,541,533,7,1,4,193,500,1,4,-,11,25
S01002239,902,874,24,4,7,306,772,6,8,8,18,90
S01002240,940,897,32,11,7,162,705,2,6,2,38,187
S01002241,973,942,28,3,6,327,813,2,17,2,41,98
S01002242,766,753,12,1,6,155,708,-,6,2,-,50
S01002243,820,795,19,6,11,181,620,5,3,1,49,142
S01002244,895,850,40,5,6,196,686,-,5,-,96,108
S01002245,"2,060","1,991",55,14,11,355,"1,593",2,6,2,164,293
S01002246,930,896,33,1,13,179,724,4,6,-,58,138
S01002247,806,791,13,2,4,233,728,1,4,1,21,51
S01002248,"1,092","1,085",6,1,7,157,973,-,4,2,9,104
S01002249,944,922,18,4,8,217,796,-,6,5,62,75
S01002250,876,866,8,2,4,206,800,-,5,-,24,47
S01002251,861,855,6,-,5,165,831,1,1,1,-,27
S01002252,740,727,9,4,7,120,661,-,1,-,9,69
S01002253,932,920,12,-,3,337,864,-,9,1,12,46
S01002254,874,846,23,5,5,167,666,1,7,1,67,132
S01002255,"1,638","1,604",27,7,17,334,"1,358",4,6,2,67,201
S01002256,"1,083","1,070",10,3,10,149,930,1,3,3,9,137
S01002257,671,659,9,3,13,184,606,6,7,2,7,43
S01002258,849,802,30,17,4,224,667,-,8,1,82,91
S01002259,522,520,2,-,5,158,495,2,4,-,3,18
S01002260,848,842,6,-,3,131,786,-,2,-,-,60
S01002261,"1,013",993,19,1,2,250,956,-,-,6,14,37
S01002262,778,759,19,-,1,163,717,-,9,5,5,42
S01002263,820,810,9,1,4,114,760,1,3,2,5,49
S01002264,808,803,3,2,6,199,718,1,10,3,9,67
S01002265,"1,557","1,510",43,4,7,477,"1,301",1,16,6,89,144
S01002266,719,689,26,4,11,172,553,3,1,2,71,89
S01002267,"1,011",961,41,9,7,262,713,-,10,1,80,207
S01002268,720,711,9,-,6,131,673,4,3,1,2,37
S01002269,966,958,6,2,7,134,886,3,-,-,2,75
S01002270,"1,667","1,592",70,5,18,364,"1,191",-,12,3,189,272
S01002271,784,778,6,-,1,190,731,-,8,4,4,37
S01002272,737,729,7,1,5,182,650,1,3,-,19,64
S01002273,752,737,13,2,3,191,626,-,2,2,51,71
S01002274,"1,245","1,224",18,3,6,292,"1,062",3,7,-,71,102
S01002275,"1,393","1,334",52,7,11,417,"1,103",-,11,7,75,197
S01002276,869,862,7,-,2,113,819,-,-,-,-,50
S01002277,883,849,29,5,7,260,682,-,8,1,52,140
S01002278,"1,053","1,004",44,5,-,353,874,-,8,3,65,103
S01002279,"1,405","1,341",44,20,11,408,"1,092",2,18,3,113,177
S01002280,759,755,4,-,2,169,705,2,3,1,9,39
S01002281,627,615,8,4,2,248,550,-,10,6,25,36
S01002282,250,236,9,5,1,97,204,-,3,-,26,17
S01002283,687,683,3,1,2,147,601,-,5,2,11,68
S01002284,"1,927","1,876",48,3,5,527,"1,636",1,6,7,87,190
S01002285,943,911,31,1,3,235,750,-,7,2,62,122
S01002286,730,723,7,-,11,140,667,5,9,-,7,42
S01002287,655,652,3,-,4,91,618,-,2,-,6,29
S01002288,"1,269","1,245",21,3,13,289,"1,085",4,11,-,79,90
S01002289,"1,180","1,154",18,8,4,266,"1,016",2,9,1,37,115
S01002290,949,926,20,3,4,239,808,-,7,3,43,88
S01002291,708,676,28,4,8,253,599,-,11,3,37,58
S01002292,"1,074","1,053",19,2,14,245,909,-,9,4,48,104
S01002293,764,745,11,8,3,236,685,1,4,-,35,39
S01002294,648,639,8,1,-,101,587,-,2,2,4,53
S01002295,706,704,2,-,5,120,671,1,1,-,2,31
S01002297,848,845,3,-,6,220,811,1,2,1,6,27
S01002298,677,667,9,1,5,131,576,1,-,1,8,91
S01002299,759,756,3,-,4,194,722,4,2,-,6,25
S01002300,751,745,6,-,6,132,722,4,-,3,2,20
S01002301,"1,954","1,858",91,5,9,515,"1,527",-,9,2,229,187
S01002302,940,904,32,4,1,352,812,-,1,3,48,76
S01002303,763,740,18,5,3,245,686,-,1,2,21,53
S01002304,"1,625","1,589",33,3,9,393,"1,379",1,11,2,84,148
S01002305,829,803,25,1,13,250,709,7,6,4,34,69
S01002306,467,455,11,1,9,109,418,3,7,-,7,32
S01002307,"1,043","1,027",16,-,7,224,866,-,8,4,68,97
S01002308,923,915,5,3,4,207,862,-,7,2,15,37
S01002309,706,681,19,6,3,202,602,3,8,2,49,42
S01002310,990,965,23,2,13,287,833,6,17,7,35,92
S01002311,840,835,5,-,-,128,789,-,5,-,-,46
S01002312,655,635,17,3,3,199,557,-,8,5,32,53
S01002313,712,707,4,1,-,131,643,-,8,-,6,55
S01002314,847,842,4,1,8,172,781,1,6,-,10,49
S01002315,554,546,6,2,6,142,500,-,7,-,2,45
S01002316,708,699,8,1,6,85,648,4,7,1,9,39
S01002317,"3,532","3,447",66,19,22,766,"2,919",5,11,12,181,404
S01002318,869,834,30,5,3,226,704,-,5,7,67,86
S01002319,"1,057","1,029",24,4,6,306,932,5,8,5,41,66
S01002320,586,581,5,-,2,101,544,-,2,-,11,29
S01002321,"1,041",975,58,8,4,335,744,-,17,5,106,169
S01002322,647,641,4,2,10,123,602,3,8,1,6,27
S01002323,756,743,11,2,-,174,683,-,4,1,26,42
S01002324,708,657,46,5,8,209,556,5,5,2,50,90
S01002325,"1,697","1,664",31,2,9,430,"1,432",4,9,6,103,143
S01002326,988,965,20,3,6,220,866,1,7,12,44,58
S01002327,781,778,3,-,4,157,754,-,8,3,1,15
S01002328,698,695,3,-,2,161,676,-,2,-,10,10
S01002329,652,651,1,-,2,170,637,-,3,3,1,8
S01002330,728,722,5,1,3,203,683,-,4,4,13,24
S01002331,667,666,1,-,-,220,647,-,4,-,-,16
S01002332,831,828,3,-,-,194,813,-,2,-,4,12
S01002333,731,726,4,1,4,156,697,-,5,7,-,22
S01002334,921,918,2,1,4,188,870,1,3,4,6,37
S01002335,897,886,10,1,7,202,848,1,15,4,5,24
S01002336,984,981,3,-,4,207,924,-,14,4,5,37
S01002337,862,856,2,4,3,171,808,1,8,7,3,35
S01002338,454,450,2,2,4,134,438,1,1,3,-,11
S01002339,598,597,-,1,358,71,299,288,-,1,-,10
S01002340,624,620,4,-,403,53,286,328,5,-,-,5
S01002341,516,513,3,-,363,25,201,308,-,-,-,7
S01002342,599,595,2,2,375,53,271,316,-,-,-,12
S01002343,724,717,7,-,472,74,303,402,9,1,-,9
S01002344,500,496,3,1,300,44,248,226,5,-,3,18
S01002345,783,774,9,-,378,68,506,251,-,2,7,17
S01002346,868,866,2,-,495,65,476,378,2,2,-,10
S01002347,711,706,3,2,465,50,311,384,-,4,4,8
S01002348,914,909,5,-,521,64,460,440,3,2,-,9
S01002349,955,947,7,1,618,78,438,496,6,2,-,13
S01002350,889,882,6,1,486,79,464,412,2,-,-,11
S01002351,760,758,2,-,397,48,432,317,3,-,-,8
S01002352,873,863,8,2,456,55,483,378,1,1,-,10
S01002353,811,807,-,4,406,59,473,328,1,1,-,8
S01002354,850,842,8,-,313,35,632,204,2,-,-,12
S01002355,822,816,4,2,302,75,627,170,1,-,1,23
S01002356,850,837,9,4,338,85,581,219,4,-,2,44
S01002357,610,605,5,-,222,46,455,134,1,-,11,9
S01002358,484,481,2,1,300,27,214,259,3,5,-,3
S01002359,847,841,5,1,368,49,613,213,-,2,-,19
S01002360,639,632,7,-,241,41,487,121,-,1,1,29
S01002361,642,632,8,2,272,35,443,188,-,-,-,11
S01002362,777,774,3,-,350,44,496,269,-,1,-,11
S01002363,"1,054","1,043",9,2,422,78,783,254,1,2,1,13
S01002364,640,639,1,-,229,62,495,128,-,-,7,10
S01002365,597,595,2,-,261,61,398,188,2,-,-,9
S01002366,866,859,6,1,389,48,608,246,2,1,-,9
S01002367,"1,029","1,019",10,-,450,83,694,312,9,3,-,11
S01002368,907,901,6,-,524,70,464,424,1,-,5,13
S01002369,615,608,7,-,382,38,258,339,5,1,-,12
S01002370,720,716,4,-,429,52,336,373,5,1,-,5
S01002371,694,693,-,1,405,48,341,344,-,1,-,8
S01002372,737,734,3,-,484,50,313,418,1,-,2,3
S01002373,646,642,4,-,424,37,254,390,1,-,-,1
S01002374,778,772,6,-,494,37,334,437,-,2,2,3
S01002375,862,856,6,-,2,346,841,-,10,3,-,8
S01002376,861,857,4,-,3,319,840,-,10,1,-,10
S01002377,841,829,12,-,3,319,809,-,11,1,-,20
S01002378,496,489,7,-,2,171,463,-,10,1,5,17
S01002379,"1,119","1,111",7,1,-,411,"1,083",-,4,6,-,26
S01002380,782,775,5,2,2,275,735,1,10,3,8,25
S01002381,857,850,6,1,4,290,828,-,4,1,2,22
S01002382,597,594,3,-,3,225,580,1,4,1,5,6
S01002383,510,500,9,1,1,143,473,-,-,-,3,34
S01002384,500,487,11,2,3,192,446,-,5,3,1,45
S01002385,741,734,6,1,-,321,715,-,17,-,1,8
S01002386,979,975,4,-,5,340,962,1,3,3,-,10
S01002387,712,707,5,-,7,203,696,4,7,-,-,5
S01002388,720,716,4,-,8,232,688,6,6,5,3,12
S01002389,682,679,3,-,3,243,652,-,15,3,-,12
S01002390,"1,089","1,080",7,2,2,290,"1,057",-,6,6,-,20
S01002391,"1,377","1,367",6,4,8,352,"1,339",-,8,3,2,25
