,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S01000595,758,60,5,665,2,3,2,2,19
S01000596,795,61,11,696,5,1,5,1,15
S01000597,965,83,5,844,2,2,2,0,27
S01000598,1348,118,14,1152,4,1,11,10,38
S01000599,1145,111,10,961,6,3,12,5,37
S01000600,776,32,1,719,1,1,3,5,14
S01000601,1232,134,17,1027,7,3,14,6,24
S01000602,743,55,11,653,2,1,1,4,16
S01000603,1022,98,9,870,1,3,6,9,26
S01000604,976,106,0,831,5,3,5,5,21
S01000605,813,71,4,712,4,1,4,5,12
S01000606,860,61,2,750,6,0,5,23,13
S01000607,752,67,4,643,9,6,4,8,11
S01000608,1195,95,3,982,4,1,11,69,30
S01000609,1051,106,6,895,3,0,4,17,20
S01000610,804,63,10,645,1,0,16,38,31
S01000611,631,61,0,534,3,0,8,12,13
S01000612,1039,88,3,883,3,3,5,37,17
S01000613,1047,89,3,899,8,2,8,21,17
S01000614,678,62,6,582,4,1,5,6,12
S01000615,809,64,3,700,3,0,8,21,10
S01000616,1442,184,8,1092,3,10,14,104,27
S01000617,665,65,0,582,4,0,3,4,7
S01000618,815,59,8,720,4,0,2,9,13
S01000619,708,112,12,554,6,0,9,5,10
S01000620,1169,93,2,1015,5,3,6,26,19
S01000621,1082,71,8,951,5,1,4,25,17
S01000622,768,70,6,668,1,0,4,9,10
S01000623,769,38,3,691,3,2,5,11,16
S01000624,616,32,4,532,1,0,2,35,10
S01000625,641,35,2,563,4,0,4,25,8
S01000626,804,58,3,705,4,3,2,16,13
S01000627,849,61,3,761,6,1,4,6,7
S01000628,580,44,0,510,0,1,6,9,10
S01000629,911,78,4,797,1,0,9,11,11
S01000630,738,60,5,649,2,1,3,6,12
S01000631,612,40,4,548,4,1,4,2,9
S01000632,539,50,1,457,2,0,3,8,18
S01000633,523,48,3,459,2,0,6,2,3
S01000634,735,47,4,665,3,0,6,4,6
S01000635,643,57,1,572,1,1,4,1,6
S01000636,521,36,2,462,0,0,8,1,12
S01000637,648,78,1,543,1,1,7,3,14
S01000638,589,98,2,456,6,2,7,8,10
S01000639,641,85,16,516,3,1,5,1,14
S01000640,721,60,3,627,3,2,8,2,16
S01000641,814,82,6,689,5,2,10,8,12
S01000642,908,140,6,718,4,1,8,13,18
S01000643,675,70,3,574,2,2,3,6,15
S01000644,711,94,2,592,4,0,5,6,8
S01000645,980,117,4,789,2,4,31,13,20
S01000646,782,43,5,709,0,0,3,7,15
S01000647,777,35,5,722,0,3,5,2,5
S01000648,896,46,1,811,1,2,10,11,14
S01000649,596,97,7,472,1,0,6,3,10
S01000650,712,26,3,655,2,2,6,13,5
S01000651,886,69,4,753,1,2,4,29,24
S01000652,774,46,4,709,1,0,4,4,6
S01000653,994,60,8,871,0,6,11,17,21
S01000654,971,52,2,883,0,2,5,14,13
S01000655,792,37,1,701,1,2,8,33,9
S01000656,799,40,7,685,5,3,9,34,16
S01000657,816,32,2,721,2,1,3,37,18
S01000658,606,34,2,516,2,2,5,27,18
S01000659,1321,99,6,1172,5,4,3,14,18
S01000660,1026,65,4,926,0,2,9,6,14
S01000661,822,50,4,731,1,4,4,12,16
S01000662,734,53,0,662,0,3,5,1,10
S01000663,811,50,1,737,1,1,1,12,8
S01000664,851,89,6,728,2,0,5,10,11
S01000665,669,62,2,576,1,1,9,7,11
S01000666,528,59,1,444,1,0,3,4,16
S01000667,987,78,8,866,1,1,7,3,23
S01000668,864,39,4,797,1,3,4,2,14
S01000669,827,78,0,697,1,3,9,11,28
S01000670,669,51,8,591,1,0,2,0,16
S01000671,590,53,2,488,1,2,9,11,24
S01000672,713,71,4,612,1,2,6,3,14
S01000673,721,103,3,594,3,1,4,0,13
S01000674,1080,157,9,862,4,1,6,15,26
S01000675,714,82,5,598,9,2,4,1,13
S01000676,457,56,2,375,5,2,5,3,9
S01000677,877,104,8,722,3,1,12,17,10
S01000678,901,75,3,789,2,0,5,8,19
S01000679,779,64,3,682,1,0,4,12,13
S01000680,967,77,1,831,2,2,11,16,27
S01000681,990,103,4,811,2,1,18,26,25
S01000682,768,79,11,625,1,2,8,14,28
S01000683,546,51,3,453,4,1,5,9,20
S01000684,740,49,1,635,2,1,9,22,21
S01000685,912,74,5,772,2,7,6,16,30
S01000686,770,48,3,631,1,2,6,47,32
S01000687,827,45,1,741,3,0,5,12,20
S01000688,722,60,6,630,2,2,6,1,15
S01000689,648,92,5,523,0,1,4,4,19
S01000690,992,102,3,844,2,2,5,11,23
S01000691,808,52,5,727,0,0,7,6,11
S01000692,750,42,1,594,3,0,10,86,14
S01000693,1015,75,4,854,2,0,10,51,19
S01000694,701,55,3,627,0,2,4,0,10
S01000695,788,65,7,665,3,2,2,26,18
S01000696,774,61,0,654,6,0,7,35,11
S01000697,958,124,4,783,7,5,2,3,30
S01000698,620,46,1,546,3,1,1,6,16
S01000699,630,42,2,548,9,3,4,11,11
S01000700,806,77,2,697,3,2,3,4,18
S01000701,1017,99,6,875,4,2,9,3,19
S01000702,514,22,4,471,2,0,1,6,8
S01000703,739,42,4,657,2,1,3,23,7
S01000704,979,134,7,793,2,7,8,7,21
S01000705,1146,111,5,979,9,2,11,5,24
S01000706,859,101,7,712,4,1,9,4,21
S01000707,625,105,5,485,4,2,8,0,16
S01000708,565,114,4,418,1,0,8,0,20
S01000709,1023,142,6,818,5,4,10,4,34
S01000710,1108,176,12,865,6,1,8,13,27
S01000711,505,89,3,397,3,2,3,1,7
S01000712,621,46,3,557,1,4,0,0,10
S01000713,752,52,4,681,0,0,3,0,12
S01000714,986,140,7,797,3,3,8,8,20
S01000715,658,47,5,591,0,2,4,3,6
S01000716,535,53,0,448,2,3,5,8,16
S01000717,915,82,12,786,2,3,2,3,25
S01000718,810,49,2,742,3,0,4,0,10
S01000719,641,69,4,543,4,1,6,0,14
S01000720,778,189,13,546,4,3,5,1,17
S01000721,702,138,9,520,3,1,9,7,15
S01000722,846,63,2,748,4,1,0,19,9
S01000723,460,83,0,369,2,1,2,0,3
S01000724,784,67,3,688,1,4,3,6,12
S01000725,595,172,2,390,3,5,9,5,9
S01000726,760,159,1,551,6,1,10,7,25
S01000727,610,39,0,557,3,1,3,3,4
S01000728,651,94,1,529,3,0,4,4,16
S01000729,491,32,2,442,3,2,7,0,3
S01000730,457,40,1,403,1,2,1,4,5
S01000731,595,56,2,524,3,0,3,1,6
S01000732,543,61,5,449,2,1,2,12,11
S01000733,672,88,2,551,2,6,3,14,6
S01000734,826,135,8,633,4,5,11,17,13
S01000735,443,66,0,353,3,1,4,1,15
S01000736,740,98,2,616,4,3,5,5,7
S01000737,470,66,0,391,0,5,2,2,4
S01000738,449,52,3,373,1,3,4,4,9
S01000739,730,100,8,591,2,3,14,1,11
S01000740,658,162,4,451,3,1,9,5,23
S01000741,786,127,9,614,6,5,9,0,16
S01000742,642,118,6,483,3,5,9,8,10
S01000743,901,112,6,719,6,2,7,18,31
S01000744,740,97,4,597,2,3,9,12,16
S01000745,716,74,6,600,1,1,13,12,9
S01000746,786,55,2,692,2,3,6,7,19
S01000747,562,43,6,467,5,3,5,15,18
S01000748,465,49,2,393,3,1,1,4,12
S01000749,541,50,5,459,2,3,5,5,12
S01000750,687,85,2,559,7,7,6,0,21
S01000751,722,99,12,582,3,2,2,1,21
S01000752,977,82,5,857,2,6,5,7,13
S01000753,596,66,6,502,2,2,1,0,17
S01000754,787,74,6,670,4,3,7,11,12
S01000755,706,151,2,522,1,1,11,6,12
S01000756,1043,146,5,842,2,3,8,8,29
S01000757,770,96,5,628,4,1,10,5,21
S01000758,1286,198,8,1016,2,4,12,0,46
S01000759,985,151,8,784,2,4,7,4,25
S01000760,531,120,1,386,7,3,3,0,11
S01000761,606,173,4,401,8,5,3,1,11
S01000762,610,96,9,479,2,1,5,2,16
S01000763,747,194,4,489,5,5,13,14,23
S01000764,676,112,6,513,5,1,4,2,33
S01000765,825,293,10,483,10,2,6,4,17
S01000766,699,128,10,509,2,8,15,0,27
S01000767,642,94,2,525,2,2,4,0,13
S01000768,783,137,10,583,2,10,6,9,26
S01000769,787,133,6,606,6,4,7,1,24
S01000770,703,71,4,607,1,2,4,0,14
S01000771,943,168,6,702,5,3,14,4,41
S01000772,640,131,4,453,10,2,6,6,28
S01000773,826,147,6,631,5,1,10,1,25
S01000774,831,244,7,525,8,5,10,5,27
S01000775,810,146,13,575,1,5,14,3,53
S01000776,572,147,12,379,8,4,4,3,15
S01000777,325,115,6,182,2,1,4,4,11
S01000778,466,124,8,309,7,3,3,0,12
S01000779,793,202,6,537,4,6,12,4,22
S01000780,849,164,7,643,9,3,9,1,13
S01000781,806,194,10,559,3,1,9,4,26
S01000782,680,171,8,476,3,2,5,0,15
S01000783,464,118,3,311,6,0,5,1,20
S01000784,803,196,12,545,9,1,7,1,32
S01000785,714,161,6,506,6,1,11,0,23
S01000786,749,159,11,534,6,3,8,4,24
S01000787,498,116,3,331,3,2,12,14,17
S01000788,656,154,12,460,7,3,6,1,13
S01000789,742,106,7,593,2,4,5,7,18
S01000790,512,145,6,313,6,7,9,2,24
S01000791,607,67,5,511,2,1,8,2,11
S01000792,664,191,1,427,9,3,12,4,17
S01000793,675,64,6,570,1,3,4,8,19
S01000794,861,95,2,739,4,2,6,1,12
S01000795,940,105,2,799,4,3,7,10,10
S01000796,428,77,4,322,3,3,5,3,11
S01000797,449,79,5,351,1,1,4,0,8
S01000798,484,65,2,401,1,2,3,2,8
S01000799,1589,853,20,596,42,4,34,4,36
S01000800,947,242,5,639,10,1,9,9,32
S01000801,635,124,4,471,4,0,9,8,15
S01000802,770,163,8,564,4,0,10,7,14
S01000803,972,300,2,619,2,2,14,8,25
S01000804,912,157,7,672,9,6,7,35,19
S01000805,803,156,3,587,3,3,15,4,32
S01000806,808,277,8,477,10,3,10,3,20
S01000807,769,67,5,636,3,1,12,30,15
S01000808,749,234,10,441,7,1,14,11,31
S01000809,616,185,3,372,1,2,13,9,31
S01000810,735,158,4,524,7,2,7,8,25
S01000811,798,111,0,655,4,0,10,2,16
S01000812,1347,120,9,1157,3,2,11,23,22
S01000813,771,63,1,679,4,3,3,7,11
S01000814,786,54,2,677,3,3,3,23,21
S01000815,520,40,0,439,1,1,8,19,12
S01000816,563,75,9,440,2,2,6,17,12
S01000817,916,78,2,804,2,2,4,6,18
S01000818,911,119,6,677,4,6,18,43,38
S01000819,882,194,10,583,9,8,10,44,24
S01000820,554,222,6,277,12,3,6,6,22
S01000821,854,83,0,659,3,6,8,66,29
S01000822,532,48,2,454,1,3,2,13,9
S01000823,502,34,4,426,2,3,2,23,8
S01000824,756,133,4,586,7,2,6,3,15
S01000825,739,142,8,525,6,3,8,15,32
S01000826,625,62,4,539,4,2,3,4,7
S01000827,736,164,5,522,5,1,7,6,26
S01000828,925,225,6,629,8,2,14,17,24
S01000829,693,142,8,479,9,4,14,9,28
S01000830,872,303,2,506,8,1,8,11,33
S01000831,848,170,8,646,5,0,4,2,13
S01000832,954,253,10,635,6,1,10,9,30
S01000833,1164,120,13,967,1,11,16,3,33
S01000834,980,64,2,889,1,0,6,5,13
S01000835,774,46,7,709,1,0,4,0,7
S01000836,785,70,1,674,3,2,5,24,6
S01000837,984,58,2,844,3,2,14,33,28
S01000838,623,44,3,560,1,3,1,1,10
S01000839,1355,79,6,1205,1,2,7,24,31
S01000840,686,31,1,610,1,2,4,27,10
S01000841,988,71,2,872,0,1,6,18,18
S01000842,867,66,6,770,2,6,7,3,7
S01000843,910,70,4,789,7,3,6,10,21
S01000844,787,73,6,661,2,0,8,24,13
S01000845,540,42,6,473,3,1,2,0,13
S01000846,680,25,6,620,5,1,5,9,9
S01000847,974,52,7,848,6,2,11,23,25
S01000848,651,45,2,581,2,0,7,3,11
S01000849,479,24,3,445,0,3,2,0,2
S01000850,699,43,10,588,1,6,5,35,11
S01000851,714,47,4,633,2,1,4,5,18
S01000852,725,33,0,671,0,2,3,5,11
S01000853,554,27,2,507,1,1,2,6,8
S01000854,846,25,3,781,3,3,5,20,6
S01000855,716,48,7,648,4,1,0,1,7
S01000856,512,30,2,459,3,2,5,10,1
S01000857,507,33,1,459,1,1,2,1,9
S01000858,910,60,9,802,7,0,6,11,15
S01000859,1129,94,2,987,7,3,9,6,21
S01000860,891,48,2,793,2,0,4,31,11
S01000861,643,33,9,577,2,2,2,10,8
S01000862,523,30,3,476,1,2,2,5,4
S01000863,542,20,0,507,3,1,4,4,3
S01000864,1172,113,12,1007,3,2,12,1,22
S01000865,1080,78,3,945,0,3,5,21,25
S01000866,853,44,1,784,3,0,5,10,6
S01000867,895,58,8,796,2,1,8,12,10
S01000868,703,33,1,630,0,3,5,25,6
S01000869,595,31,2,540,1,1,0,17,3
S01000870,865,42,2,766,2,2,5,26,20
S01000871,818,46,7,741,3,5,3,4,9
S01000872,798,86,10,680,4,3,4,2,9
S01000873,3097,346,23,2569,15,12,35,30,67
S01000874,496,32,2,449,0,1,2,1,9
S01000875,1427,157,17,1208,6,9,8,5,17
S01000876,681,58,7,577,3,1,16,8,11
S01000877,675,58,4,588,1,0,10,1,13
S01000878,554,62,2,480,1,0,2,1,6
S01000879,945,189,14,680,4,3,14,8,33
S01000880,787,79,7,678,3,1,6,0,13
S01000881,642,39,3,585,1,0,5,0,9
S01000882,887,81,8,765,1,0,9,8,15
S01000883,813,80,5,701,2,7,5,4,9
S01000884,590,51,0,503,2,1,4,0,29
S01000885,480,56,3,400,3,0,4,2,12
S01000886,649,50,4,556,6,8,3,3,19
S01000887,723,76,0,627,2,1,3,6,8
S01000888,661,47,5,562,2,2,5,2,36
S01000889,686,59,3,595,2,2,2,7,16
S01000890,748,48,4,661,3,2,4,4,22
S01000891,924,134,7,687,7,1,24,10,54
S01000892,541,135,9,349,5,6,7,2,28
S01000893,625,156,1,421,15,1,5,0,26
S01000894,493,50,2,420,1,2,1,7,10
S01000895,916,101,9,756,9,9,7,3,22
S01000896,485,130,2,320,4,1,15,0,13
S01000897,680,216,19,413,8,7,6,5,6
S01000898,526,131,9,366,4,2,2,1,11
S01000899,829,150,11,635,6,1,2,12,12
S01000900,627,211,3,391,7,1,5,1,8
S01000901,605,137,11,441,2,1,2,3,8
S01000902,943,222,9,670,2,4,14,11,11
S01000903,1014,291,4,680,5,5,6,2,21
S01000904,696,176,14,480,4,1,4,9,8
S01000905,692,210,2,445,3,3,9,11,9
S01000906,536,98,7,411,2,2,5,3,8
S01000907,734,197,3,472,4,1,7,21,29
S01000908,751,152,6,550,3,2,6,20,12
S01000909,951,313,2,604,4,1,3,7,17
S01000910,842,135,11,670,5,3,6,4,8
S01000911,1034,289,14,684,6,0,11,12,18
S01000912,653,166,17,451,3,5,4,1,6
S01000913,611,183,15,377,3,9,7,8,9
S01000914,701,275,7,374,13,0,9,1,22
S01000915,900,221,33,610,4,4,6,4,18
S01000916,1046,201,21,786,3,5,6,5,19
S01000917,677,155,18,488,0,0,3,0,13
S01000918,551,172,9,338,3,0,8,4,17
S01000919,631,122,7,479,2,0,5,2,14
S01000920,597,151,6,411,4,3,4,9,9
S01000921,667,99,11,539,0,6,5,1,6
S01000922,965,205,5,715,1,6,4,11,18
S01000923,862,61,12,765,11,2,4,5,2
S01000924,861,62,13,766,5,3,7,4,1
S01000925,1005,258,8,703,4,4,7,3,18
S01000926,1010,79,13,884,2,8,4,8,12
S01000927,913,52,19,820,4,1,5,2,10
S01000928,980,268,15,641,4,7,7,23,15
S01000929,481,42,9,420,0,3,1,4,2
S01000930,540,42,14,478,0,2,3,0,1
S01000931,654,87,4,554,0,1,1,2,5
S01000932,1027,174,9,807,1,4,11,8,13
S01000933,1032,94,15,892,2,1,7,9,12
S01000934,903,89,24,757,1,1,8,7,16
S01000935,767,127,3,614,1,2,4,2,14
S01000936,856,72,16,751,5,0,5,1,6
S01000937,558,48,10,476,2,5,4,7,6
S01000938,783,41,18,707,2,3,7,0,5
S01000939,739,120,11,592,3,1,2,0,10
S01000940,902,182,10,693,4,3,4,0,6
S01000941,478,50,9,408,2,2,3,3,1
S01000942,1018,186,18,764,9,5,7,16,13
S01000943,830,96,25,687,2,3,3,5,9
S01000944,837,123,6,677,3,4,8,3,13
S01000945,739,97,8,606,12,2,2,2,10
S01000946,775,76,6,675,3,0,8,0,7
S01000947,687,52,7,615,3,0,6,1,3
S01000948,844,144,24,641,2,4,7,16,6
S01000949,610,145,6,440,1,3,7,3,5
S01000950,825,237,5,537,1,1,19,2,23
S01000951,861,123,4,665,6,4,4,45,10
S01000952,876,150,15,700,1,1,3,1,5
S01000953,874,189,7,658,1,4,1,11,3
S01000954,1116,216,16,833,9,2,4,19,17
S01000955,627,198,3,413,1,0,4,2,6
S01000956,851,100,2,705,5,2,4,26,7
S01000957,542,202,13,297,3,2,7,8,10
S01000958,797,154,1,618,0,1,5,13,5
S01000959,700,155,4,514,2,1,10,7,7
S01000960,566,106,7,437,6,0,4,2,4
S01000961,843,122,4,689,5,1,2,4,16
S01000962,660,122,1,493,5,5,6,12,16
S01000963,843,389,2,423,4,2,7,8,8
S01000964,989,266,14,681,6,2,3,0,17
S01000965,642,89,3,503,1,1,4,34,7
S01000966,1086,131,2,929,0,2,4,11,7
S01000967,578,80,4,459,0,1,2,24,8
S01000968,1056,237,17,728,5,7,28,7,27
S01000969,908,119,4,742,1,1,8,27,6
S01000970,788,318,3,447,3,1,3,3,10
S01000971,729,88,3,574,1,0,5,45,13
S01000972,922,410,4,474,5,2,4,0,23
S01000973,660,91,1,557,2,2,3,1,3
S01000974,1227,214,7,968,4,3,4,6,21
S01000975,647,151,7,467,2,2,3,5,10
S01000976,507,144,5,343,4,0,2,2,7
S01000977,921,393,5,492,1,2,7,6,15
S01000978,820,186,10,590,1,0,5,9,19
S01000979,703,161,6,499,4,7,7,2,17
S01000980,677,139,15,503,5,5,2,1,7
S01000981,686,285,2,383,3,0,0,4,9
S01000982,736,192,11,521,2,1,2,2,5
S01000983,534,130,47,346,0,0,2,1,8
S01000984,620,171,9,410,7,2,9,0,12
S01000985,714,92,18,564,3,6,6,14,11
S01000986,611,208,5,381,6,0,5,1,5
S01000987,637,93,7,515,1,3,1,3,14
S01000988,565,119,3,427,5,1,2,1,7
S01000989,813,138,9,641,5,0,6,1,13
S01000990,840,106,10,662,4,1,7,14,36
S01000991,435,110,10,301,2,0,3,1,8
S01000992,1095,133,8,878,2,7,9,10,48
S01000993,843,109,5,700,2,1,3,6,17
S01000994,1104,274,10,787,3,5,4,11,10
S01000995,778,61,2,693,2,3,1,2,14
S01000996,1122,121,16,892,9,6,11,6,61
S01000997,891,76,9,778,3,3,1,1,20
S01000998,694,62,3,588,1,3,4,18,15
S01000999,650,58,3,566,1,1,5,0,16
S01001000,576,54,2,473,4,1,4,25,13
S01001001,551,135,7,372,2,5,6,4,20
S01001002,631,66,9,531,5,2,3,3,12
S01001003,828,96,7,704,1,2,2,2,14
S01001004,661,78,9,538,6,6,5,6,13
S01001005,844,106,3,694,4,6,8,3,20
S01001006,702,76,3,600,2,0,4,8,9
S01001007,917,70,1,806,1,3,14,9,13
S01001008,756,93,6,593,1,5,7,29,22
S01001009,614,76,4,500,0,5,10,5,14
S01001010,917,106,10,740,7,1,5,27,21
S01001011,588,251,3,318,2,2,5,1,6
S01001012,744,80,8,629,1,2,5,2,17
S01001013,895,105,8,730,2,0,7,9,34
S01001014,844,85,8,662,2,2,14,16,55
S01001015,515,41,2,450,1,1,6,8,6
S01001016,823,230,14,552,4,0,7,4,12
S01001017,858,86,3,733,6,1,6,5,18
S01001018,798,68,8,689,4,4,4,8,13
S01001019,1056,78,7,936,1,2,7,12,13
S01001020,548,46,1,466,0,0,2,22,11
S01001021,1022,98,12,853,5,6,7,14,27
S01001022,835,126,11,657,6,3,4,4,24
S01001023,999,273,8,676,10,6,10,6,10
S01001024,1862,186,13,1585,7,4,11,7,49
S01001025,1264,136,9,1046,9,7,5,10,42
S01001026,886,211,6,647,5,1,5,4,7
S01001027,906,90,3,776,1,2,13,4,17
S01001028,774,40,4,702,5,1,11,8,3
S01001029,754,49,1,687,0,1,5,2,9
S01001030,716,122,12,552,3,1,7,1,18
S01001031,957,41,3,899,0,3,5,0,6
S01001032,692,50,2,607,2,4,7,13,7
S01001033,724,40,2,642,3,3,6,12,16
S01001034,718,67,3,620,3,2,10,3,10
S01001035,509,30,4,465,1,0,3,3,3
S01001036,663,41,2,590,9,1,5,2,13
S01001037,860,58,4,769,4,1,3,7,14
S01001038,772,76,5,650,2,3,6,7,23
S01001039,539,134,2,383,2,3,3,0,12
S01001040,699,131,13,544,1,3,2,2,3
S01001041,682,94,9,559,1,2,8,3,6
S01001042,991,75,9,878,1,0,6,2,20
S01001043,664,52,4,588,1,3,7,2,7
S01001044,923,293,7,584,5,4,14,4,12
S01001045,656,50,2,592,0,0,6,0,6
S01001046,847,103,5,709,1,1,8,4,16
S01001047,864,165,5,673,4,6,5,1,5
S01001048,579,48,5,511,1,3,3,1,7
S01001049,630,31,3,576,4,2,5,3,6
S01001050,956,463,11,436,9,1,5,0,31
S01001051,638,42,6,583,1,1,3,0,2
S01001052,519,41,1,463,1,0,1,5,7
S01001053,773,162,9,575,4,2,4,2,15
S01001054,714,81,4,613,3,1,3,2,7
S01001055,858,138,12,683,4,2,6,4,9
S01001056,711,78,5,612,4,0,5,2,5
S01001057,639,88,5,511,4,1,5,2,23
S01001058,768,84,4,644,1,1,4,14,16
S01001059,660,83,6,556,2,2,6,3,2
S01001060,706,65,4,623,1,2,2,2,7
S01001061,741,160,4,562,1,0,2,0,12
S01001062,588,104,20,455,0,1,0,1,7
S01001063,884,135,2,709,6,5,5,2,20
S01001064,717,212,2,478,3,0,4,1,17
S01001065,756,174,5,556,0,0,5,2,14
S01001066,772,189,11,546,6,3,9,1,7
S01001067,781,279,8,457,2,2,9,8,16
S01001068,867,350,9,458,6,3,15,3,23
S01001069,856,157,6,653,3,2,9,5,21
S01001070,890,236,6,598,9,4,11,0,26
S01001071,707,148,9,525,1,4,4,6,10
S01001072,898,234,11,632,2,4,4,1,10
S01001073,1133,266,8,823,8,4,8,0,16
S01001074,492,171,2,298,10,0,4,0,7
S01001075,926,122,7,761,8,1,5,2,20
S01001076,854,187,10,629,6,1,2,2,17
S01001077,930,160,3,733,4,1,8,1,20
S01001078,957,237,7,674,4,4,4,3,24
S01001079,554,165,2,362,4,5,3,1,12
S01001080,722,124,4,564,2,5,8,4,11
S01001081,629,194,13,372,3,2,14,7,24
S01001082,945,225,3,660,1,5,17,12,22
S01001083,813,107,2,679,4,2,6,0,13
S01001084,961,253,11,666,8,0,2,4,17
S01001085,833,47,5,774,1,1,1,0,4
S01001086,748,41,6,692,1,0,4,1,3
S01001087,476,32,2,437,1,0,3,0,1
S01001088,1009,118,10,862,2,3,3,1,10
S01001089,931,135,14,753,6,2,4,1,16
S01001090,885,108,15,639,4,7,29,8,75
S01001091,613,70,10,404,3,5,28,15,78
S01001092,1015,136,32,634,3,15,37,16,142
S01001093,875,103,41,598,1,11,35,14,72
S01001094,882,80,9,650,4,9,18,20,92
S01001095,1508,220,93,679,11,34,73,42,356
S01001096,939,114,39,620,2,15,40,31,78
S01001097,673,46,11,538,0,2,28,6,42
S01001098,906,116,22,620,5,11,19,15,98
S01001099,1964,209,92,1195,3,22,98,68,277
S01001100,963,68,17,685,1,10,48,15,119
S01001101,1530,173,97,795,12,25,100,52,276
S01001102,1393,222,87,695,4,29,73,26,257
S01001103,701,56,4,457,6,5,8,9,156
S01001104,800,68,32,487,2,9,22,26,154
S01001105,801,74,8,654,3,2,11,2,47
S01001106,955,68,5,757,4,1,9,12,99
S01001107,948,64,25,700,6,16,30,35,72
S01001108,1679,211,44,1026,6,8,70,44,270
S01001109,1686,202,64,1080,6,17,95,59,163
S01001110,808,67,14,529,2,7,20,30,139
S01001111,1093,78,23,705,3,14,23,52,195
S01001112,814,89,7,668,4,2,12,4,28
S01001113,1050,78,19,732,3,5,58,35,120
S01001114,907,57,11,703,3,4,17,35,77
S01001115,742,27,8,616,3,3,19,16,50
S01001116,702,41,22,529,1,6,10,3,90
S01001117,582,39,12,442,0,3,19,32,35
S01001118,522,20,6,453,0,3,9,0,31
S01001119,964,75,9,826,3,1,15,1,34
S01001120,649,54,2,558,2,3,5,2,23
S01001121,644,46,2,511,1,1,16,21,46
S01001122,687,45,17,467,2,6,32,42,76
S01001123,990,99,13,772,2,6,17,21,60
S01001124,624,27,5,564,1,2,3,5,17
S01001125,363,7,1,297,2,0,3,11,42
S01001126,845,31,6,754,0,6,8,1,39
S01001127,783,53,16,632,1,4,18,10,49
S01001128,644,26,3,578,2,4,3,0,28
S01001129,935,46,4,794,0,6,7,10,68
S01001130,762,38,1,665,0,1,0,10,47
S01001131,484,32,4,362,1,0,7,20,58
S01001132,695,35,0,619,1,2,5,6,27
S01001133,1062,39,3,917,0,5,11,8,79
S01001134,853,88,12,678,2,4,17,10,42
S01001135,342,15,1,304,1,0,3,3,15
S01001136,1023,59,15,779,0,2,25,70,73
S01001137,1041,30,12,785,1,5,25,79,104
S01001138,1406,89,13,1056,1,7,38,109,93
S01001139,753,31,0,682,2,1,10,5,22
S01001140,977,26,8,875,1,11,10,21,25
S01001141,516,31,2,376,0,0,10,29,68
S01001142,899,77,10,751,4,5,7,8,37
S01001143,790,64,12,646,5,0,5,10,48
S01001144,711,29,1,638,2,0,10,7,24
S01001145,579,24,2,522,0,2,5,5,19
S01001146,778,36,5,706,0,1,9,0,21
S01001147,773,47,7,529,1,3,45,73,68
S01001148,733,49,5,644,1,1,5,0,28
S01001149,643,31,5,512,1,1,16,40,37
S01001150,770,36,2,679,0,0,2,16,35
S01001151,578,31,2,531,0,0,3,0,11
S01001152,928,41,7,805,0,1,6,17,51
S01001153,732,32,4,662,2,4,4,5,19
S01001154,738,80,7,611,3,2,2,3,30
S01001155,618,63,5,519,4,2,10,2,13
S01001156,772,52,11,513,1,4,16,79,96
S01001157,756,53,5,668,1,3,4,2,20
S01001158,591,18,0,553,1,1,5,5,8
S01001159,747,75,4,640,1,2,4,4,17
S01001160,545,26,4,491,2,2,7,1,12
S01001161,575,25,2,515,2,0,2,4,25
S01001162,821,58,2,698,3,2,11,3,44
S01001163,723,34,12,543,0,3,11,52,68
S01001164,629,17,3,567,1,2,3,6,30
S01001165,786,41,9,581,0,4,31,44,76
S01001166,280,11,2,239,0,0,5,7,16
S01001167,815,50,5,677,8,2,11,12,50
S01001168,764,58,9,545,2,0,13,92,45
S01001169,1125,58,9,999,5,7,7,8,32
S01001170,819,39,3,722,2,2,6,9,36
S01001171,583,33,5,509,0,2,3,13,18
S01001172,583,20,4,501,1,3,5,27,22
S01001173,934,44,2,853,0,0,7,14,14
S01001174,648,36,4,444,2,2,16,64,80
S01001175,903,37,7,808,0,2,7,23,19
S01001176,857,37,7,786,2,1,6,8,10
S01001177,888,33,4,775,1,2,16,21,36
S01001178,792,19,5,730,1,1,2,13,21
S01001179,914,82,5,785,2,1,7,3,29
S01001180,689,25,6,550,2,4,8,46,48
S01001181,840,59,6,712,5,2,10,10,36
S01001182,895,35,6,815,2,1,4,17,15
S01001183,840,33,3,746,2,0,5,15,36
S01001184,853,55,6,708,2,2,9,11,60
S01001185,532,45,5,462,0,3,6,1,10
S01001186,709,36,6,619,2,0,3,6,37
S01001187,917,37,5,821,0,2,8,18,26
S01001188,773,35,3,643,0,3,23,30,36
S01001189,964,73,4,846,3,1,8,6,23
S01001190,683,52,9,597,4,1,3,1,16
S01001191,694,16,0,652,1,1,4,7,13
S01001192,952,46,4,801,1,1,7,44,48
S01001193,827,46,3,717,2,1,6,3,49
S01001194,884,79,2,766,1,3,0,6,27
S01001195,940,34,3,879,2,2,6,3,11
