Scotland's Census 2011 - National Records of Scotland
"Table KS401SC - Dwellings, household spaces and accommodation type"
All dwellings; All household spaces
, , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday accommodation,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01001879,409,408,-,1,415,400,1,14,8,11,4,387,4,1,-
S01001880,398,398,-,-,398,393,-,5,3,17,10,367,1,-,-
S01001881,319,319,-,-,319,315,4,-,202,57,7,51,2,-,-
S01001882,359,359,-,-,359,350,2,7,39,157,134,28,1,-,-
S01001883,234,234,-,-,234,228,1,5,66,12,52,91,13,-,-
S01001884,473,473,-,-,473,464,1,8,8,61,179,223,1,1,-
S01001885,474,474,-,-,474,459,4,11,312,112,10,38,1,1,-
S01001886,357,357,-,-,357,349,-,8,5,19,34,298,1,-,-
S01001887,362,362,-,-,362,357,1,4,43,141,124,51,2,1,-
S01001888,366,366,-,-,366,358,-,8,234,62,9,48,12,1,-
S01001889,263,263,-,-,263,261,-,2,50,43,116,53,1,-,-
S01001890,442,442,-,-,442,428,2,12,13,91,101,235,1,1,-
S01001891,355,355,-,-,355,352,-,3,7,60,109,175,4,-,-
S01001892,532,531,1,-,533,528,-,5,5,8,6,512,1,1,-
S01001893,503,503,-,-,503,501,-,2,2,4,6,488,2,1,-
S01001894,377,376,1,-,378,368,1,9,6,20,30,322,-,-,-
S01001895,400,400,-,-,400,394,2,4,12,44,122,211,11,-,-
S01001896,336,336,-,-,336,324,-,12,31,15,154,128,7,1,-
S01001897,455,455,-,-,455,450,1,4,10,18,28,393,6,-,-
S01001898,393,393,-,-,393,353,1,39,3,11,5,372,2,-,-
S01001899,332,332,-,-,332,330,-,2,3,35,31,262,1,-,-
S01001900,351,351,-,-,351,342,-,9,43,112,34,161,1,-,-
S01001901,421,421,-,-,421,397,3,21,72,27,117,197,7,1,-
S01001902,399,399,-,-,399,388,4,7,41,40,83,187,47,1,-
S01001903,250,250,-,-,250,249,1,-,4,54,77,109,1,4,1
S01001904,337,337,-,-,337,327,3,7,10,13,62,251,-,1,-
S01001905,387,387,-,-,387,378,2,7,15,18,143,204,7,-,-
S01001906,329,329,-,-,329,307,-,22,25,48,128,124,3,-,1
S01001907,366,365,1,-,367,360,-,7,17,99,154,94,3,-,-
S01001908,321,321,-,-,321,316,2,3,154,41,25,77,24,-,-
S01001909,362,362,-,-,362,355,1,6,7,20,9,325,1,-,-
S01001910,321,321,-,-,321,318,-,3,3,31,29,253,4,1,-
S01001911,306,306,-,-,306,297,1,8,5,58,114,117,12,-,-
S01001912,358,358,-,-,358,346,-,12,2,48,32,270,6,-,-
S01001913,425,425,-,-,425,408,1,16,6,155,104,159,1,-,-
S01001914,244,244,-,-,244,239,1,4,39,103,44,23,35,-,-
S01001915,395,395,-,-,395,390,-,5,156,80,71,85,2,1,-
S01001916,479,479,-,-,479,463,3,13,7,17,15,434,5,1,-
S01001917,258,258,-,-,258,256,1,1,16,73,50,45,74,-,-
S01001918,620,620,-,-,620,592,12,16,4,9,6,598,3,-,-
S01001919,416,416,-,-,416,413,-,3,3,27,32,353,-,1,-
S01001920,374,374,-,-,374,356,-,18,18,67,108,179,2,-,-
S01001921,322,322,-,-,322,316,-,6,12,55,115,139,-,1,-
S01001922,336,336,-,-,336,332,1,3,138,125,15,38,15,1,4
S01001923,231,231,-,-,231,229,1,1,27,68,79,55,2,-,-
S01001924,351,351,-,-,351,344,-,7,23,39,77,209,3,-,-
S01001925,312,311,1,-,313,309,2,2,24,95,75,22,97,-,-
S01001926,239,239,-,-,239,232,6,1,2,27,56,150,2,1,1
S01001927,421,421,-,-,421,410,2,9,69,52,41,211,48,-,-
S01001928,430,430,-,-,430,420,5,5,6,3,20,381,20,-,-
S01001929,529,529,-,-,529,509,10,10,18,57,98,337,19,-,-
S01001930,472,471,-,1,475,453,3,19,7,9,29,403,25,2,-
S01001931,311,311,-,-,311,298,12,1,13,52,92,152,1,1,-
S01001932,374,374,-,-,374,373,-,1,22,120,147,82,3,-,-
S01001933,362,362,-,-,362,358,3,1,49,57,124,121,11,-,-
S01001934,851,851,-,-,851,833,1,17,21,26,51,749,2,2,-
S01001935,454,453,1,-,455,452,-,3,11,73,42,328,-,-,1
S01001936,621,621,-,-,621,585,14,22,17,57,110,423,13,1,-
S01001937,464,464,-,-,464,459,-,5,22,83,102,254,3,-,-
S01001938,276,276,-,-,276,262,4,10,19,12,8,223,13,1,-
S01001939,288,288,-,-,288,277,4,7,6,5,5,266,4,2,-
S01001940,335,335,-,-,335,327,1,7,7,63,72,174,15,4,-
S01001941,437,437,-,-,437,428,4,5,36,89,40,153,119,-,-
S01001942,311,311,-,-,311,301,5,5,5,3,12,262,27,2,-
S01001943,279,279,-,-,279,277,-,2,16,67,65,130,1,-,-
S01001944,353,353,-,-,353,346,2,5,49,38,33,135,98,-,-
S01001945,332,332,-,-,332,326,3,3,21,28,33,180,70,-,-
S01001946,350,350,-,-,350,347,2,1,7,28,27,288,-,-,-
S01001947,467,467,-,-,467,452,4,11,54,26,45,236,106,-,-
S01001948,403,403,-,-,403,387,2,14,13,88,63,239,-,-,-
S01001949,307,307,-,-,307,307,-,-,7,66,52,176,2,4,-
S01001950,547,547,-,-,547,528,1,18,9,9,30,493,6,-,-
S01001951,516,516,-,-,516,508,2,6,13,96,35,345,26,-,1
S01001952,295,295,-,-,295,287,5,3,10,45,69,89,79,3,-
S01001953,372,371,-,1,375,367,3,5,28,24,21,217,83,2,-
S01001954,206,206,-,-,206,204,-,2,24,55,14,113,-,-,-
S01001955,572,572,-,-,572,564,1,7,6,54,43,466,2,1,-
S01001956,300,300,-,-,300,299,-,1,17,139,85,57,2,-,-
S01001957,239,239,-,-,239,236,-,3,11,23,48,148,3,6,-
S01001958,463,463,-,-,463,455,-,8,9,19,37,390,8,-,-
S01001959,258,258,-,-,258,251,-,7,42,61,140,14,1,-,-
S01001960,371,371,-,-,371,366,-,5,27,79,35,164,65,1,-
S01001961,553,553,-,-,553,543,4,6,12,14,109,412,6,-,-
S01001962,430,430,-,-,430,420,-,10,30,131,109,155,1,4,-
S01001963,507,507,-,-,507,487,1,19,5,3,10,476,13,-,-
S01001964,391,391,-,-,391,383,1,7,9,37,174,170,-,-,1
S01001965,424,424,-,-,424,407,-,17,6,12,25,380,1,-,-
S01001966,799,799,-,-,799,768,1,30,25,49,76,606,6,-,37
S01001967,328,328,-,-,328,314,-,14,1,2,17,307,1,-,-
S01001968,454,454,-,-,454,442,1,11,16,23,27,327,61,-,-
S01001969,308,307,1,-,309,305,1,3,22,18,48,221,-,-,-
S01001970,291,291,-,-,291,283,1,7,58,67,26,70,70,-,-
S01001971,447,447,-,-,447,440,-,7,7,39,40,360,-,1,-
S01001972,336,336,-,-,336,330,-,6,3,2,115,210,4,2,-
S01001973,332,332,-,-,332,326,-,6,4,51,111,162,2,2,-
S01001974,369,368,-,1,371,362,4,5,22,18,24,221,84,2,-
S01001975,433,433,-,-,433,416,7,10,58,30,9,255,80,-,1
S01001976,331,331,-,-,331,329,-,2,11,20,24,257,18,-,1
S01001977,453,453,-,-,453,439,1,13,5,11,14,419,3,1,-
S01001978,624,624,-,-,624,612,-,12,38,167,133,282,3,-,1
S01001979,309,308,-,1,317,309,2,6,28,17,14,191,66,1,-
S01001980,447,447,-,-,447,443,-,4,2,2,46,393,3,1,-
S01001981,425,422,1,2,430,418,8,4,23,27,43,281,51,5,-
S01001982,215,215,-,-,215,200,-,15,10,22,43,135,1,3,1
S01001983,339,339,-,-,339,337,-,2,16,23,12,278,8,2,-
S01001984,526,525,1,-,527,515,4,8,2,7,6,502,10,-,-
S01001985,343,343,-,-,343,339,-,4,6,40,26,259,9,3,-
S01001986,384,384,-,-,384,373,1,10,-,1,7,374,1,1,-
S01001987,288,288,-,-,288,281,4,3,3,2,18,251,14,-,-
S01001988,357,357,-,-,357,350,-,7,30,38,33,253,3,-,-
S01001989,391,391,-,-,391,388,2,1,155,97,79,56,3,-,1
S01001990,361,361,-,-,361,343,10,8,14,15,14,230,86,2,-
S01001991,338,338,-,-,338,334,-,4,6,34,23,271,4,-,-
S01001992,312,311,1,-,313,306,2,5,25,64,25,110,89,-,-
S01001993,285,285,-,-,285,276,3,6,36,23,2,143,81,-,-
S01001994,393,393,-,-,393,386,-,7,5,11,59,311,5,2,-
S01001995,327,327,-,-,327,323,1,3,5,33,155,132,1,1,-
S01001996,372,372,-,-,372,351,4,17,1,1,2,364,4,-,-
S01001997,429,428,1,-,430,420,1,9,5,40,18,353,6,7,1
S01001998,313,313,-,-,313,308,-,5,2,24,14,269,3,1,-
S01001999,271,270,-,1,273,267,-,6,2,2,3,263,3,-,-
S01002000,346,346,-,-,346,345,-,1,25,116,71,134,-,-,-
S01002001,581,580,1,-,582,572,-,10,-,2,22,554,4,-,-
S01002002,260,260,-,-,260,259,1,-,-,4,2,250,3,1,-
S01002003,369,369,-,-,369,358,-,11,66,123,107,66,2,5,-
S01002004,461,461,-,-,461,453,1,7,3,12,41,399,3,3,-
S01002005,480,480,-,-,480,465,-,15,1,9,18,450,2,-,-
S01002006,352,352,-,-,352,352,-,-,62,131,121,38,-,-,-
S01002007,686,686,-,-,686,676,2,8,-,-,9,675,1,1,-
S01002008,437,437,-,-,437,433,1,3,21,20,27,330,39,-,-
S01002009,419,419,-,-,419,412,1,6,12,44,13,316,33,1,-
S01002010,209,209,-,-,209,203,-,6,1,-,1,203,4,-,-
S01002011,459,459,-,-,459,447,5,7,84,162,102,111,-,-,-
S01002012,365,365,-,-,365,360,2,3,6,4,16,335,3,1,-
S01002013,370,369,-,1,375,371,3,1,19,46,18,263,28,1,-
S01002014,335,335,-,-,335,331,2,2,4,14,17,270,29,1,-
S01002015,331,331,-,-,331,330,-,1,2,311,5,8,2,3,-
S01002016,338,338,-,-,338,330,1,7,1,5,18,311,3,-,-
S01002017,508,508,-,-,508,499,-,9,20,88,189,208,3,-,-
S01002018,344,344,-,-,344,343,1,-,1,310,21,11,-,1,-
S01002019,296,296,-,-,296,290,2,4,2,1,2,280,10,1,-
S01002020,183,183,-,-,183,180,1,2,-,2,-,179,1,1,-
S01002021,554,554,-,-,554,543,1,10,4,25,73,451,1,-,-
S01002022,417,417,-,-,417,411,-,6,127,107,149,29,3,2,-
S01002023,354,352,1,1,357,351,1,5,3,5,16,292,41,-,-
S01002024,330,330,-,-,330,323,1,6,3,10,43,239,34,1,-
S01002025,581,581,-,-,581,560,-,21,2,-,3,576,-,-,-
S01002026,304,304,-,-,304,299,2,3,31,109,110,52,1,1,-
S01002027,461,461,-,-,461,453,1,7,1,1,3,435,16,5,-
S01002028,329,329,-,-,329,314,1,14,7,26,22,247,22,5,-
S01002029,281,281,-,-,281,272,5,4,1,4,6,262,7,1,-
S01002030,493,493,-,-,493,470,2,21,2,3,3,480,5,-,-
S01002031,420,420,-,-,420,409,-,11,2,9,10,394,2,3,-
S01002032,392,392,-,-,392,386,2,4,2,8,17,335,28,2,-
S01002033,532,531,1,-,533,525,-,8,4,7,12,502,2,5,1
S01002034,385,384,-,1,387,376,1,10,4,4,2,372,5,-,-
S01002035,312,312,-,-,312,308,-,4,67,30,53,161,1,-,-
S01002036,611,611,-,-,611,589,1,21,1,2,6,599,3,-,-
S01002037,317,317,-,-,317,307,1,9,2,10,15,280,9,1,-
S01002038,208,208,-,-,208,200,5,3,-,1,5,198,4,-,-
S01002039,308,308,-,-,308,300,2,6,98,39,47,117,6,1,-
S01002040,356,356,-,-,356,339,-,17,2,1,5,342,5,1,-
S01002041,444,444,-,-,444,430,1,13,7,14,34,361,28,-,-
S01002042,534,534,-,-,534,522,5,7,63,70,101,286,13,1,-
S01002043,372,372,-,-,372,367,-,5,5,62,81,218,6,-,-
S01002044,298,298,-,-,298,292,-,6,6,14,31,246,1,-,-
S01002045,494,494,-,-,494,481,6,7,49,52,136,253,4,-,-
S01002046,407,407,-,-,407,387,8,12,-,-,9,395,2,1,-
S01002047,352,352,-,-,352,344,-,8,3,4,34,282,28,1,-
S01002048,268,268,-,-,268,260,1,7,2,3,4,253,4,2,-
S01002049,558,558,-,-,558,544,4,10,1,3,7,541,4,2,-
S01002050,293,293,-,-,293,290,-,3,188,66,5,33,1,-,-
S01002051,369,369,-,-,369,367,1,1,13,55,164,137,-,-,-
S01002052,536,536,-,-,536,525,2,9,2,3,3,525,3,-,-
S01002053,327,327,-,-,327,311,5,11,1,2,2,319,2,1,-
S01002054,331,331,-,-,331,323,5,3,2,8,11,306,3,1,-
S01002055,371,371,-,-,371,350,2,19,125,78,94,73,1,-,-
S01002056,470,470,-,-,470,459,-,11,69,48,60,292,1,-,-
S01002057,444,444,-,-,444,431,7,6,52,117,119,141,14,1,-
S01002058,545,545,-,-,545,536,2,7,-,4,6,531,4,-,-
S01002059,411,411,-,-,411,402,-,9,2,5,9,391,3,1,-
S01002060,340,340,-,-,340,331,2,7,-,1,3,331,3,2,-
S01002061,403,403,-,-,403,396,2,5,2,-,9,382,1,9,-
S01002062,298,298,-,-,298,297,-,1,33,53,15,195,2,-,-
S01002063,538,538,-,-,538,524,6,8,3,4,19,501,8,3,-
S01002064,596,595,1,-,597,591,-,6,3,4,9,579,2,-,-
S01002065,313,313,-,-,313,308,2,3,1,-,7,287,18,-,-
S01002066,703,703,-,-,703,649,20,34,3,3,3,662,18,14,-
S01002067,439,439,-,-,439,420,5,14,80,70,30,230,8,21,-
S01002068,596,595,1,-,597,585,3,9,2,2,2,584,6,1,-
S01002069,294,294,-,-,294,291,1,2,18,20,132,122,2,-,-
S01002070,378,378,-,-,378,371,2,5,1,3,18,336,19,1,-
S01002071,344,344,-,-,344,341,-,3,1,5,11,323,3,1,-
S01002072,551,551,-,-,551,534,-,17,57,79,162,236,17,-,-
S01002073,432,431,1,-,433,426,3,4,1,1,2,423,6,-,-
S01002074,288,288,-,-,288,286,1,1,167,57,41,22,1,-,-
S01002075,582,582,-,-,582,560,2,20,7,9,32,510,23,1,-
S01002076,453,453,-,-,453,434,2,17,3,3,3,432,7,5,-
S01002077,356,356,-,-,356,349,2,5,160,132,13,50,-,1,-
S01002078,508,508,-,-,508,476,5,27,149,124,70,161,2,2,-
S01002079,579,579,-,-,579,516,2,61,2,2,21,544,6,2,2
S01002080,393,393,-,-,393,385,1,7,202,100,42,27,17,5,-
S01002081,368,368,-,-,368,361,-,7,2,4,70,288,4,-,-
S01002082,550,550,-,-,550,514,11,25,7,26,131,378,7,1,-
S01002083,297,297,-,-,297,295,-,2,4,42,83,165,3,-,-
S01002084,464,463,1,-,465,442,4,19,8,-,7,440,7,3,-
S01002085,295,295,-,-,295,276,12,7,1,-,1,286,3,4,-
S01002086,345,345,-,-,345,326,10,9,1,1,6,315,8,14,-
S01002087,583,583,-,-,583,576,4,3,1,3,11,553,10,5,-
S01002088,412,412,-,-,412,400,1,11,124,46,92,133,17,-,-
S01002089,443,443,-,-,443,438,1,4,150,129,29,126,7,2,-
S01002090,494,494,-,-,494,480,-,14,193,52,144,85,18,2,-
S01002091,488,488,-,-,488,446,25,17,-,3,11,450,8,16,-
S01002092,388,388,-,-,388,383,3,2,72,129,51,116,20,-,-
S01002093,456,455,1,-,457,437,3,17,2,5,3,439,4,4,-
S01002094,370,370,-,-,370,359,-,11,51,48,26,243,2,-,-
S01002095,285,285,-,-,285,264,4,17,79,63,13,102,26,2,-
S01002096,547,547,-,-,547,539,-,8,302,78,52,111,3,1,-
S01002097,309,309,-,-,309,299,3,7,244,55,-,9,1,-,-
S01002098,356,356,-,-,356,352,1,3,84,94,59,111,8,-,-
S01002099,434,434,-,-,434,401,4,29,6,7,36,220,161,4,-
S01002100,274,274,-,-,274,266,-,8,52,44,35,112,31,-,-
S01002101,637,636,1,-,638,592,32,14,6,5,15,608,3,1,-
S01002102,344,344,-,-,344,337,4,3,3,5,13,322,1,-,-
S01002103,280,280,-,-,280,275,1,4,73,158,6,42,1,-,-
S01002104,559,558,1,-,560,540,1,19,7,4,29,512,6,2,-
S01002105,356,356,-,-,356,343,3,10,22,40,194,16,84,-,-
S01002106,431,431,-,-,431,413,9,9,3,-,4,388,9,26,1
S01002107,212,212,-,-,212,211,-,1,31,40,110,31,-,-,-
S01002108,415,414,1,-,416,393,17,6,4,1,5,379,11,16,-
S01002109,483,482,1,-,484,444,16,24,2,6,33,408,21,14,-
S01002110,363,363,-,-,363,334,2,27,44,52,58,155,54,-,-
S01002111,440,440,-,-,440,430,1,9,232,146,43,18,1,-,-
S01002112,503,503,-,-,503,491,2,10,42,74,130,197,59,1,-
S01002113,329,329,-,-,329,321,2,6,255,43,18,13,-,-,-
S01002114,274,274,-,-,274,273,-,1,109,100,24,33,7,1,-
S01002115,554,554,-,-,554,503,11,40,3,6,28,276,236,5,-
S01002116,374,374,-,-,374,363,2,9,16,27,63,205,49,14,-
S01002117,548,548,-,-,548,476,64,8,2,6,13,496,21,10,-
S01002118,571,571,-,-,571,546,15,10,3,3,6,498,26,35,-
S01002119,302,302,-,-,302,290,-,12,2,46,23,229,2,-,-
S01002120,321,321,-,-,321,319,1,1,70,76,103,71,1,-,-
S01002121,310,310,-,-,310,307,1,2,24,29,83,174,-,-,-
S01002122,388,388,-,-,388,362,10,16,111,76,36,111,54,-,-
S01002123,402,402,-,-,402,398,1,3,141,194,45,22,-,-,-
S01002124,416,416,-,-,416,413,-,3,85,115,70,140,6,-,-
S01002125,470,470,-,-,470,454,-,16,34,43,102,220,66,5,-
S01002126,243,243,-,-,243,243,-,-,7,68,135,33,-,-,-
S01002127,323,323,-,-,323,315,1,7,25,47,81,130,33,7,-
S01002128,478,478,-,-,478,391,45,42,6,3,29,340,56,44,-
S01002129,537,537,-,-,537,489,32,16,7,7,38,466,12,7,-
S01002130,227,227,-,-,227,227,-,-,9,134,73,11,-,-,-
S01002131,505,504,-,1,508,420,48,40,2,1,10,428,15,52,-
S01002132,406,406,-,-,406,404,-,2,26,44,75,255,6,-,-
S01002133,660,660,-,-,660,615,28,17,8,9,40,399,199,5,-
S01002134,257,257,-,-,257,252,1,4,115,128,6,8,-,-,-
S01002135,341,341,-,-,341,337,-,4,176,113,25,13,11,3,-
S01002136,465,465,-,-,465,426,23,16,21,12,88,283,59,2,-
S01002137,383,383,-,-,383,380,-,3,16,72,185,109,-,1,-
S01002138,414,414,-,-,414,404,1,9,23,32,113,233,12,1,-
S01002139,287,287,-,-,287,285,-,2,3,24,177,77,6,-,-
S01002140,433,433,-,-,433,421,-,12,9,17,14,391,2,-,-
S01002141,329,329,-,-,329,326,2,1,17,37,37,215,20,3,-
S01002142,466,466,-,-,466,460,-,6,104,172,66,118,5,-,1
S01002143,382,382,-,-,382,377,2,3,35,79,77,185,5,1,-
S01002144,325,325,-,-,325,316,6,3,180,25,34,85,1,-,-
S01002145,566,565,1,-,567,503,43,21,6,11,64,303,178,5,-
S01002146,544,544,-,-,544,537,2,5,1,16,62,462,2,1,-
S01002147,434,434,-,-,434,424,-,10,21,112,131,166,4,-,-
S01002148,348,348,-,-,348,345,1,2,231,95,2,17,3,-,-
S01002149,584,582,2,-,586,572,1,13,16,60,114,378,11,7,-
S01002150,345,345,-,-,345,338,1,6,8,33,75,216,7,6,-
S01002151,902,902,-,-,902,876,7,19,8,18,33,835,7,1,-
S01002152,464,464,-,-,464,425,7,32,30,37,64,332,1,-,-
S01002153,237,237,-,-,237,234,-,3,35,54,67,63,17,1,-
S01002154,446,446,-,-,446,435,3,8,12,49,66,318,1,-,-
S01002155,521,521,-,-,521,511,1,9,9,8,11,492,-,1,-
S01002156,471,471,-,-,471,396,47,28,1,3,30,327,98,12,-
S01002157,394,393,1,-,395,349,17,29,4,4,90,124,173,-,-
S01002158,461,461,-,-,461,421,18,22,3,7,28,228,192,3,-
S01002159,410,410,-,-,410,379,16,15,4,5,73,232,89,7,-
S01002160,541,541,-,-,541,530,4,7,1,5,3,522,8,2,-
S01002161,416,416,-,-,416,338,64,14,8,7,24,331,33,13,-
S01002162,436,436,-,-,436,429,1,6,65,65,167,138,1,-,-
S01002163,699,699,-,-,699,678,6,15,2,6,5,681,3,2,-
S01002164,350,350,-,-,350,345,-,5,65,116,119,46,2,2,-
S01002165,410,410,-,-,410,406,-,4,61,74,207,66,2,-,-
S01002166,441,441,-,-,441,401,21,19,5,6,44,287,97,2,-
S01002167,307,307,-,-,307,304,-,3,16,78,43,169,1,-,-
S01002168,692,691,1,-,693,634,38,21,3,9,36,559,83,3,-
S01002169,470,470,-,-,470,455,6,9,-,4,9,452,4,1,-
S01002170,444,444,-,-,444,434,-,10,8,108,133,193,2,-,-
S01002171,289,289,-,-,289,285,-,4,9,183,12,83,2,-,-
S01002172,315,315,-,-,315,313,-,2,96,130,57,29,1,2,-
S01002173,561,561,-,-,561,533,6,22,49,76,34,391,10,1,-
S01002174,540,540,-,-,540,500,16,24,2,9,26,467,31,5,-
S01002175,605,605,-,-,605,598,3,4,1,4,94,495,10,1,-
S01002176,389,389,-,-,389,375,-,14,63,198,20,99,6,3,-
S01002177,481,481,-,-,481,467,3,11,2,1,22,415,40,1,-
S01002178,585,585,-,-,585,561,7,17,2,7,77,438,60,1,-
S01002179,287,287,-,-,287,283,-,4,131,92,38,26,-,-,-
S01002180,295,295,-,-,295,263,15,17,2,8,43,190,52,-,-
S01002181,483,483,-,-,483,473,-,10,8,29,52,387,6,1,-
S01002182,395,395,-,-,395,384,6,5,4,8,34,320,28,1,-
S01002183,556,556,-,-,556,548,-,8,2,3,47,498,6,-,-
S01002184,339,339,-,-,339,329,2,8,67,148,98,20,6,-,-
S01002185,556,556,-,-,556,541,1,14,13,20,34,486,3,-,-
S01002186,393,393,-,-,393,383,3,7,2,1,5,379,6,-,-
S01002187,514,513,1,-,515,483,8,24,6,4,22,408,73,2,-
S01002188,366,366,-,-,366,358,1,7,45,145,29,147,-,-,-
S01002189,405,405,-,-,405,391,1,13,-,2,11,389,3,-,-
S01002190,397,396,-,1,400,389,5,6,2,4,19,348,21,6,-
S01002191,475,475,-,-,475,459,1,15,3,10,7,454,1,-,-
S01002192,402,402,-,-,402,399,-,3,11,195,151,45,-,-,-
S01002193,357,357,-,-,357,353,-,4,64,159,81,44,6,3,-
S01002194,346,346,-,-,346,342,-,4,6,157,151,29,2,1,-
S01002195,760,760,-,-,760,712,17,31,3,8,15,699,29,6,-
S01002196,293,293,-,-,293,282,2,9,49,92,82,69,1,-,-
S01002197,409,409,-,-,409,391,1,17,-,22,9,374,4,-,-
S01002198,499,499,-,-,499,490,1,8,1,5,23,459,10,1,-
S01002199,406,406,-,-,406,386,17,3,4,4,41,322,35,-,-
S01002200,447,447,-,-,447,438,3,6,283,58,34,66,6,-,-
S01002201,675,675,-,-,675,620,13,42,5,7,26,604,31,2,-
S01002202,498,498,-,-,498,420,54,24,6,5,16,446,25,-,-
S01002203,271,271,-,-,271,260,2,9,1,-,1,260,3,6,-
S01002204,424,424,-,-,424,418,1,5,3,2,22,394,2,1,-
S01002205,412,412,-,-,412,392,9,11,2,8,66,323,10,3,-
S01002206,582,581,1,-,583,558,10,15,2,2,11,560,6,2,-
S01002207,346,346,-,-,346,336,-,10,99,102,55,86,2,2,-
S01002208,371,371,-,-,371,352,11,8,3,3,14,313,37,1,-
S01002209,595,595,-,-,595,582,1,12,2,1,6,571,13,2,-
S01002210,361,361,-,-,361,328,15,18,4,6,108,215,28,-,-
S01002211,413,413,-,-,413,397,1,15,1,11,22,375,4,-,-
S01002212,694,693,1,-,695,676,2,17,3,10,18,659,5,-,-
S01002213,329,329,-,-,329,320,1,8,55,165,76,30,2,1,-
S01002214,463,463,-,-,463,434,7,22,2,5,95,351,10,-,-
S01002215,473,473,-,-,473,464,1,8,132,90,59,175,11,6,-
S01002216,989,989,-,-,989,973,7,9,3,4,8,963,8,3,-
S01002217,699,699,-,-,699,666,6,27,2,3,3,679,5,7,-
S01002218,311,311,-,-,311,296,9,6,3,-,9,295,4,-,-
S01002219,309,309,-,-,309,304,2,3,131,39,41,96,2,-,-
S01002220,301,301,-,-,301,299,1,1,185,41,67,7,1,-,-
S01002221,635,635,-,-,635,614,3,18,2,2,5,624,1,1,-
S01002222,335,335,-,-,335,331,1,3,226,79,16,12,2,-,-
S01002223,312,312,-,-,312,308,-,4,104,147,34,27,-,-,-
S01002224,409,409,-,-,409,397,1,11,220,24,19,136,9,1,-
S01002225,491,491,-,-,491,464,4,23,-,4,22,456,5,4,-
S01002226,528,528,-,-,528,510,5,13,4,30,133,356,4,1,-
S01002227,462,462,-,-,462,444,1,17,14,45,38,365,-,-,-
S01002228,412,412,-,-,412,402,-,10,232,99,41,32,7,1,-
S01002229,330,330,-,-,330,318,1,11,153,78,9,90,-,-,-
S01002230,573,573,-,-,573,549,6,18,4,16,103,398,50,2,-
S01002231,443,443,-,-,443,410,9,24,11,6,30,383,5,8,-
S01002232,378,378,-,-,378,374,1,3,43,65,66,202,2,-,-
S01002233,590,590,-,-,590,575,4,11,4,9,23,548,6,-,-
S01002234,508,508,-,-,508,502,-,6,1,1,6,498,1,1,-
S01002235,644,644,-,-,644,606,6,32,4,13,88,525,12,2,-
S01002236,419,419,-,-,419,415,-,4,12,109,93,203,2,-,-
S01002237,642,642,-,-,642,596,41,5,22,114,135,360,11,-,-
S01002238,330,330,-,-,330,322,-,8,10,27,15,275,3,-,-
S01002239,512,512,-,-,512,500,-,12,12,35,37,420,6,2,-
S01002240,521,520,1,-,522,508,6,8,4,27,84,395,12,-,-
S01002241,514,514,-,-,514,485,2,27,18,30,92,373,1,-,-
S01002242,354,354,-,-,354,348,1,5,121,103,8,116,3,3,-
S01002243,421,421,-,-,421,403,1,17,5,18,98,276,20,3,1
S01002244,528,528,-,-,528,520,-,8,2,-,10,514,2,-,-
S01002245,"1,139","1,139",-,-,"1,139","1,079",9,51,20,28,87,984,11,8,1
S01002246,595,595,-,-,595,579,-,16,1,3,11,570,8,2,-
S01002247,393,393,-,-,393,389,-,4,5,62,59,266,1,-,-
S01002248,528,527,1,-,529,519,3,7,11,66,122,239,91,-,-
S01002249,590,590,-,-,590,582,3,5,2,5,17,554,10,2,-
S01002250,444,444,-,-,444,433,2,9,2,29,209,194,10,-,-
S01002251,326,326,-,-,326,323,-,3,176,112,9,29,-,-,-
S01002252,363,363,-,-,363,350,9,4,41,17,31,245,29,-,-
S01002253,475,475,-,-,475,463,-,12,12,129,85,248,-,1,-
S01002254,568,568,-,-,568,557,2,9,1,5,12,540,5,5,-
S01002255,"1,066","1,066",-,-,"1,066","1,043",8,15,3,12,32,"1,010",7,2,-
S01002256,656,656,-,-,656,640,9,7,54,53,72,472,5,-,-
S01002257,312,312,-,-,312,306,3,3,11,52,88,140,20,1,-
S01002258,468,466,1,1,478,471,-,7,1,4,14,445,13,1,-
S01002259,268,268,-,-,268,266,-,2,4,38,87,122,17,-,-
S01002260,360,360,-,-,360,354,5,1,177,22,63,94,3,1,-
S01002261,419,419,-,-,419,413,1,5,18,89,133,165,14,-,-
S01002262,351,351,-,-,351,345,1,5,43,196,16,95,1,-,-
S01002263,369,369,-,-,369,354,3,12,180,43,22,118,6,-,-
S01002264,402,402,-,-,402,393,4,5,6,12,120,251,13,-,-
S01002265,756,756,-,-,756,743,1,12,16,81,128,528,3,-,-
