Zone Code,all_16_74_employed,managers_senior_officials,prof_occupations,associate_prof_technical_occ,admin_secretarial,skilled_trades_occ,personal_service,sales_customer_service,process_plant_machine_operatives,elementary
60QA000429,73,7,19,10,7,6,9,4,2,9
60QA000430,54,7,19,9,7,4,5,1,1,1
60QA000431,67,16,18,8,10,0,0,3,5,7
60QA000432,50,9,13,6,8,1,2,6,4,1
60QA000433,78,22,18,9,5,2,5,7,6,4
60QA000434,95,21,26,17,9,6,2,5,6,3
60QA000435,34,4,4,7,8,2,0,2,4,3
60QA000436,54,1,3,7,4,11,6,8,4,10
60QA000437,84,17,19,15,5,6,3,5,7,7
60QA000438,64,8,14,13,6,4,7,4,3,5
60QA000439,65,13,16,11,9,4,3,1,4,4
60QA000440,45,15,9,9,5,2,0,0,4,1
60QA000441,64,10,15,16,11,2,2,3,0,5
60QA000442,76,15,25,16,6,2,2,6,1,3
60QA000443,53,8,7,16,4,3,6,0,3,6
60QA000444,85,16,21,16,7,3,7,7,3,5
60QA000445,60,16,23,9,2,0,1,4,2,3
60QA000446,50,17,11,8,4,0,4,4,2,0
60QA000447,58,9,19,10,8,2,2,2,4,2
60QA000448,49,20,15,1,6,2,0,3,1,1
60QA000449,51,6,19,8,5,4,4,1,0,4
60QA000450,31,3,10,6,3,0,4,2,2,1
60QA000451,25,4,11,4,4,0,0,1,1,0
60QA000452,21,3,8,3,1,0,1,1,4,0
60QA000453,33,3,17,6,2,0,1,1,0,3
60QA000454,53,12,18,11,5,0,0,2,2,3
60QA000455,52,13,20,8,3,0,2,1,0,5
60QA000456,71,25,14,7,4,4,1,7,2,7
60QA000457,67,17,23,12,7,0,2,3,0,3
60QA000458,51,14,15,8,5,2,1,1,1,4
60QA000459,28,3,11,4,2,0,4,2,1,1
60QA000460,29,1,0,2,4,4,6,3,2,7
60QA000461,70,10,13,12,6,3,5,7,10,4
60QA000462,47,9,13,8,5,3,1,1,2,5
60QA000463,46,4,4,6,7,3,2,4,6,10
60QA000464,52,3,0,3,5,3,3,6,10,19
60QA000465,29,2,4,4,2,4,5,3,2,3
60QA000466,27,3,3,7,5,3,0,0,1,5
60QA000467,11,0,0,3,2,1,3,0,0,2
60QA000468,51,5,6,7,5,3,5,3,3,14
60QA000469,22,1,3,3,3,3,0,3,1,5
60QA000470,25,1,4,5,2,3,2,1,5,2
60QA000471,44,1,4,2,8,7,5,5,3,9
60QA000472,48,2,9,7,7,6,1,3,3,10
60QA000473,40,3,4,3,8,4,2,5,2,9
60QA000474,49,5,5,11,4,4,3,6,3,8
60QA000475,11,1,0,2,0,3,1,2,1,1
60QA000476,53,7,5,5,3,8,4,8,5,8
60QA000477,38,5,8,5,4,8,1,2,1,4
60QA000478,59,4,9,8,5,9,2,9,3,10
60QA000479,96,8,15,17,14,12,8,5,4,13
60QA000480,53,7,15,7,12,3,2,2,2,3
60QA000481,62,4,10,7,10,8,3,2,8,10
60QA000482,47,4,9,12,5,4,2,2,1,8
60QA000483,51,4,3,7,4,6,5,8,3,11
60QA000484,47,4,7,8,8,2,0,2,5,11
60QA000485,41,4,2,4,9,3,4,5,4,6
60QA000486,37,2,5,6,4,1,1,8,2,8
60QA000487,62,2,6,9,9,6,3,7,6,14
60QA000488,48,2,9,7,5,4,1,4,5,11
60QA000489,35,2,7,3,5,1,4,7,1,5
60QA000490,42,4,6,6,4,5,4,3,1,9
60QA000491,53,4,9,9,11,2,4,2,2,10
60QA000492,68,5,7,14,5,4,4,15,2,12
60QA000493,20,1,1,1,1,7,0,4,2,3
60QA000494,38,4,7,6,6,5,2,2,1,5
60QA000495,17,0,1,1,1,1,3,1,1,8
60QA000496,12,1,0,2,3,1,1,0,0,4
60QA000497,30,2,4,5,4,1,4,3,3,4
60QA000498,77,7,11,13,8,1,5,10,5,17
60QA000499,68,7,7,7,8,8,5,8,7,11
60QA000500,57,5,15,6,7,5,2,9,1,7
60QA000501,13,1,0,0,2,1,2,0,2,5
60QA000502,11,3,0,1,2,0,0,0,1,4
60QA000503,23,1,1,4,3,2,1,2,1,8
60QA000504,18,0,3,1,0,2,2,2,2,6
60QA000505,22,0,2,1,2,3,2,3,1,8
60QA000506,85,7,24,5,9,4,4,13,2,17
60QA000507,61,3,2,4,8,12,6,3,9,14
60QA000508,27,0,1,4,4,3,3,1,4,7
60QA000509,35,3,3,2,2,3,7,5,3,7
60QA000510,61,7,2,3,4,13,4,7,3,18
60QA000511,53,1,5,0,1,11,6,7,9,13
60QA000512,5,1,0,0,0,0,2,1,1,0
60QA000513,2,0,0,0,1,0,1,0,0,0
60QA000514,6,0,0,0,0,2,2,0,0,2
60QA000515,38,2,1,3,4,6,7,4,4,7
60QA000516,38,3,0,4,4,5,4,7,3,8
60QA000517,54,5,1,2,4,7,7,4,8,16
